"frame","targetX","targetY","chaserX","chaserY","d0_x","d0_y","d1_x","d1_y","d2_x","d2_y","d3_x","d3_y","d4_x","d4_y","d5_x","d5_y","d6_x","d6_y","d7_x","d7_y","d8_x","d8_y"
0,301.8278526415537,302.3432252423916,,,452.6459130202291,218.25513661230147,554.0490769801187,585.9624870317383,126.37263548433205,172.68594065414072,340.8433038521702,155.61718881252395,571.9600642562041,181.3971363977187,282.353240783983,576.3708100667583,320.09332385457117,531.8465129390055,578.2877882152402,256.60689058437225,53.506069999970684,285.9740010261905
1,303.6557052831074,304.6864504847832,,,452.8830279373684,216.26680693101903,554.8869335408149,587.7811884335899,128.2574425685969,173.36209201330797,341.1957936913453,157.58833805057697,573.2063551492147,179.82983380555675,280.82556919242325,575.0762453083395,319.3682644094535,533.7130517696877,576.3637041455864,257.16148854533435,54.981112191169494,284.61977470109485
2,305.4835579246611,307.02967572717483,,,453.12038660805666,214.27643325173685,555.7256514159853,588,130.14418722988754,174.03893845440186,341.5486458892041,159.56151362517656,574.4539272261841,178.2609200302024,279.29632715824187,573.7803497405475,318.6424596050177,535.5815093976761,574.4376421222629,257.71665663163003,56.457670722096445,283.2641562346829
3,307.3114105662148,309.37290096956644,,,453.35843675716467,212.28026117274814,556.5668126622332,586.1741252506716,132.14820587866484,173.87994129160566,341.90252602372726,161.54043749759165,575.7051337571457,176.68743566126093,277.7626301030488,572.4806789417232,317.91454037030735,537.4554102568901,572.5059690533418,258.27344204561757,57.93853079531242,281.904588551197
4,309.1392632077685,311.71612621195806,,,452.5536435024018,210.4318131440064,557.4103725479468,584.3430438715172,134.15793914903506,173.7204907355138,342.2574152761342,163.52500443181106,576.9599082049347,175.10946437411818,276.22455958640427,571.1773020262841,317.18454541490496,539.3346546962747,570.568787662112,258.8318151783379,59.423613661043646,280.5411439502753
5,310.9671158493222,314.05935145434967,,,451.74677096162316,208.5785894140341,558.2561118782115,582.5072316600864,136.17286482162768,173.56062821857418,342.61322143018685,165.51469874781372,578.2179245225416,173.52741619690298,274.6825152684167,569.8705576703532,316.45266442443284,541.2187544033445,568.6266013156927,259.3916309392606,60.912533427763755,279.1741767163354
6,312.79496849087593,316.4025766967413,,,450.93837285470534,206.7218617658741,559.1034502606433,580.6679484506899,138.1916001447211,173.40046344715142,342.9697003123264,167.508155009009,579.4783193906625,171.94237681722677,273.13755538387096,568.5613426330677,315.719399655482,543.1064164062798,566.6807428481188,259.9525051523253,62.404268317648004,277.80462493673303
7,314.62282113242964,318.7458019391329,,,450.1286228426174,204.86202906379876,559.9522056690802,578.8255893601664,140.21371145137638,173.2400308280176,343.3267753433679,169.50494497893374,580.7408220498879,170.35468673498966,271.59001182274596,567.2499381614398,314.9849086287954,544.9972351954561,564.7316302708431,260.5143173299175,63.89849787456925,276.4327828200854
8,316.45067377398334,321.0890271815245,,,449.3146697349451,202.99254269762824,559.0208988687929,577.011707727169,142.24631874688902,173.07876546591004,343.685703811228,171.51209950456112,582.0098778665978,168.75875557455015,272.11213727495664,565.2789272667615,314.24660514648053,546.8978684853857,562.7724006125612,261.07904565477446,65.40048339266242,275.0538200075972
9,318.27852641553704,323.4322524239161,,,448.49793326811414,201.11666351601158,559.2758502848603,574.9816877923606,144.28587665918593,172.91694864768252,344.04585965549205,173.52611760977186,583.283273292183,167.15736703632064,272.6360481649839,563.3011763877109,313.5057769932234,548.8050010994469,560.8064712565182,261.6457051004052,66.90760503605381,273.6701417529818
10,320.10637905709075,325.7754776663077,,,447.67929133020533,199.23640785107216,559.5313965103544,572.9469317591528,146.33019292227456,172.75475430588457,344.40685575432127,175.54483448062572,584.5596395881196,165.5522424098081,273.16118135509066,561.3188113555617,312.7632204652982,550.7165831120417,558.83595532735,262.213686579799,68.41824284018855,272.2832353348126
11,321.93423169864445,328.11870290869933,,,446.856618019797,197.34689293538017,558.3034785842714,571.2918560632753,148.38457634657453,172.5917612439395,344.7696295653319,177.57349244941335,585.8422913035374,163.9392134053521,273.68890054452527,559.3266842387885,312.0170072447125,552.6375786408506,556.8557356640353,262.7844650633655,69.93631972534064,270.8894991463438
12,323.76208434019816,330.46192815109094,,,446.0313742307894,195.45147414801474,556.4155201861191,570.449684597575,150.44537878138578,172.42825890307134,345.1335368789198,179.60848904840574,587.1289507201207,162.32114442149782,274.2182686155581,557.3283326340492,313.8927623553666,553.506590985785,555.04862132742,263.7884458725412,71.4591399078575,269.491408168434
13,325.58993698175186,332.80515339348256,,,445.2048507480165,193.55311616178813,554.5246341578247,569.6062071886028,152.34164822333832,171.59695491838076,345.498008498385,181.6466412875797,588,160.7005663211642,274.74845757010326,555.3268822139978,315.7714261726991,554.3769508957597,553.2387047243951,264.7939835404284,72.98432150589694,268.09114919079906
14,327.41778962330557,335.14837863587417,,,444.37517859633425,191.64752631718775,552.6265447358307,568.7595165241711,154.2451415672852,170.76248405329858,345.8638685847001,183.69255793601937,586.7064362060543,159.07381457424216,275.2806662972405,553.3178072014908,317.6572468228088,555.2506264709824,551.4218931834099,265.803351837763,74.51531333435199,266.68555587965784
15,329.24564226485927,337.4916038782658,,,443.10692728235796,189.94175816658398,550.6853384262324,567.8935924844353,156.19187455400953,169.90905739715515,346.23803952720453,185.7849495066395,585.3834878930936,157.41010963037402,274.135707895457,551.5269480118274,319.58590566382287,556.1441484091546,549.5638110583819,266.83564888593685,76.08108308308087,265.24803319358216
16,331.073494906413,339.8348291206574,,,441.83669080340724,188.23332001583927,548.7410935904907,567.0263130334689,158.14165471765943,169.05429489165178,346.61279615098624,187.88061625025804,584.0584687991884,155.743800526947,272.9889573162941,549.7332856309522,321.5175833907128,557.0390689569209,547.7028205196086,267.8695617652324,77.64930369563221,263.80826038589817
17,332.9013475479667,342.178054363049,,,440.56247520981935,186.51953004961376,546.7907582564737,566.1563167621191,160.09754271943004,168.1968547760708,346.98872672906055,189.98284783306391,582.7292989798408,154.07227158055898,271.8386144516864,547.9340044630621,323.4553122484313,557.9367929129579,545.8360002831253,268.9067134570953,79.22243688131235,262.36397737783165
18,334.7292001895204,344.5212796054406,,,439.2849573273085,184.80129858255415,544.835368384746,565.2840657867267,162.0584996493438,167.3371924972939,347.3656315782001,192.09052761168869,583.0949633828537,151.96261263681998,270.6852903298107,546.1300602332068,325.3980629726022,558.8368434327969,546.5237525743931,270.93436433936876,80.79964703820484,260.9159513298878
19,336.5570528310741,346.8645048478322,,,438.00510952643685,183.07993343016764,542.8764123016741,564.4102240128096,164.02303294372055,166.4759623790723,347.7432238208708,194.2020513457541,584.412588838399,150.26998995584648,269.5298627923317,544.322825996346,327.3443568570253,559.7385354515616,547.212759178194,272.96571322155654,82.37973368782889,259.4652843932939
20,338.3849054726278,349.20773009022383,,,436.7225160303668,181.3548753823991,540.9132536123959,563.5345075603869,164.9194897547367,164.5221874354529,348.1216261233056,196.318104993903,586.4877099596333,150.83101016630178,268.3719564821115,542.511714646626,329.29482618306685,560.6421618967828,547.9032439281639,275.00142001635567,83.96321014390017,258.0115052981766
21,339.3359329042913,352.0316082994734,,,435.4379598666948,179.6271775929258,538.9470908318225,562.6574510572663,165.81731835404346,162.5654227598607,348.50060746963993,198.43739669834326,588,151.39288886870676,267.2122783048047,540.6978318735514,331.24828018271427,561.5471711015094,548.5947852810657,277.0402419179953,85.54910968877417,256.55550158150993
22,340.28696033595486,354.855486508723,,,434.1517119164826,177.89720439039664,536.9783385749598,561.7792394529293,166.71632941183876,160.60608098547425,348.8800879420996,200.55947955297356,585.9189663000724,151.95550757676727,267.23545969760664,538.5422104564371,333.20430692092856,562.4533722217277,549.2872374079654,279.08174898946135,87.13709789553779,255.09758027839592
23,341.2379877676184,357.6793647179726,,,433.66805798474707,175.7945137142779,535.0078950022479,560.9002733944958,167.71320117012448,158.69258264404505,349.25989441867443,202.6833854467155,584.0220112360452,150.92750432279317,267.25866100508136,536.3847371879002,335.16201404275245,563.3603518412782,549.9802844066949,281.1250098789887,88.72645031133946,253.63840650413005
24,342.1890151992819,360.5032429272222,,,433.1832911822475,173.68698482052937,533.032917507861,560.0192848659347,168.71236669542517,156.77468140992448,349.64057481665475,204.81217837356024,582.1206913448286,149.89713566932244,267.2819156979523,534.2222996489063,337.12422578012365,564.2694183891796,550.6749260823045,283.17297224028755,90.3194597714061,252.17587522209575
25,343.14004263094546,363.32712113647176,,,432.6972902328284,171.57409045975916,531.0529120033501,559.1360534666302,169.22329072461247,154.66767496973264,350.02222437246115,206.94639090261248,580.2145309652069,148.86414384468344,267.30522959394403,532.0543568533361,339.0914330278281,565.1807992904442,550.0322112755332,285.24358499494923,91.91652480563286,250.70962054467404
26,344.091070062609,366.15099934572135,,,432.21015603200215,169.45626927629394,529.0682895448462,558.2507625585383,169.73540612055675,152.55575543623107,350.4047638542989,209.08557996381862,578.3039258228024,147.82874330162485,267.3285978530095,529.8813588737657,341.06322738669803,566.0943053391802,549.3879977937901,287.3190259805446,93.51731385768187,249.23994687151097
27,345.0420974942725,368.97487755497093,,,431.7218989251216,167.3335662466662,527.0790922801174,557.3634309427341,170.2487020073753,150.43896766061792,350.7881851381112,211.2297001268528,576.3889164934649,146.79095602912602,267.35201997887293,527.7033518585267,343.063102662268,566.9573013047409,547.3312808019547,288.0360882999462,92.83779851075657,247.17052133583613
28,345.99312492593606,371.7987557642205,,,429.54758563843643,167.5009007047921,525.0875115651645,556.4750361288368,170.76261292379309,148.3196435562114,351.17206583616115,213.3763893682654,574.471612605666,145.75192528301542,267.3754701690576,525.5227351617842,345.0653741824229,567.8213313094911,545.2720994579597,288.7540098012782,92.15746897057117,245.0986162206624
29,346.9441523575996,374.6226339734701,,,427.3664397442377,167.66876099821633,523.0896724653504,555.5838496045095,171.27813876461497,146.1936596434469,351.55715284893944,215.5298244108144,572.5482837420599,144.70962946497332,267.39899404961005,523.3352660495607,347.0739376824486,568.6880764601859,543.206447299474,289.47418731414,91.47500154862033,243.0202003075535
30,345.65954917690107,377.3414509918558,,,425.18095807642686,167.83695497139703,521.0878619768854,554.6908915420995,171.79468938940153,144.06344961037874,351.94300535388993,217.68754014217822,570.6211316043865,143.66526172743426,267.4225646919224,521.1434485941661,349.0864938895394,569.5565445633722,541.1366889506852,290.1957964261739,90.79117748920333,240.93765283181278
31,344.37494599620254,380.06026801024154,,,422.98921605712746,168.00563073923468,519.0803172663238,553.7953755852823,172.31271968272998,141.92713755241243,350.1995111967658,219.0263503295805,568.6884591048032,142.61790237975424,267.44620285276295,518.9453526383056,351.10481510003075,570.4275004090376,539.0610017419335,290.91947260046925,90.1053946034867,238.8491398614254
32,343.090342815504,382.77908502862726,,,420.7929867066753,168.17465185064881,517.0686623466952,552.898026166034,172.83181058148227,139.78645164954773,348.45244744268314,220.36790157163642,566.7518296881015,141.56839868835695,267.4698894099269,516.7427563423629,353.1272685831912,571.3002394332271,536.981064810453,291.6446304156753,89.41820765886168,236.7563509090874
33,341.8057396348055,385.497902047013,,,418.5934953483597,168.34392400514932,515.0540195632694,551.9993439347727,173.35167247375273,137.6425862361975,346.70278881584613,221.71144538823833,564.8123238412196,140.5173361937803,267.49361114817776,514.5368885818821,355.1527259690016,572.174274716188,534.898038597507,292.37086529074986,88.73000005161023,234.66045358647932
34,340.52113645410697,388.2167190653987,,,416.38927817688835,168.51355985672535,513.0350481311614,551.0987308005799,173.87265133798144,135.49411452724345,344.9493708836018,223.05787593454696,562.8686507843998,139.46401539300683,267.5173838548047,512.3262813079484,357.18253523968025,573.0501879458038,532.8105368076767,293.0986605494621,88.0403137658671,232.5600530322024
35,339.23653327340844,390.9355360837844,,,414.83214070204014,166.9391565878196,511.0127595117859,550.1966379513332,174.39448617492354,133.3421128609636,343.19307207075315,224.40651867771666,560.921784256185,138.4089639771819,267.54119562019116,510.11204198742615,359.21567950428744,573.9275403083199,530.7196052346172,293.8276515819863,87.3494943196794,230.45620150191644
36,337.9519300927099,393.65435310217015,,,413.2725750121399,165.36229817941768,508.98731731622047,549.2931383698806,174.91713476609493,131.18675534272944,341.43403446875965,225.75726450726228,558.9718817657096,137.3522673041013,267.5650445178721,507.8943497609571,361.25199427348144,574.8062608224905,528.6254130428902,294.5577794100899,86.6575976030486,228.34906920545816
37,336.9623693329167,396.51684860778727,,,411.71076212532995,163.78316765682052,506.9589566367001,548.3883369250435,175.44053644789057,129.02829214399358,339.6724622483856,227.109956642676,557.0191696373463,136.29404802410932,267.58892777971573,505.6734620351575,363.22068349229374,575.8344512039548,526.528203304514,295.2889592881389,85.96470392413946,226.23890071679872
38,335.9728085731235,399.3793441134044,,,410.145919553163,162.20097385522146,504.9266612383019,547.4817802996009,175.9649534513195,126.86564184678902,337.9074728391752,228.46527280020513,555.0626695370745,135.23377595566606,267.61285737154503,503.4482661165653,365.1931916762004,576.8646361222611,524.4269252902974,296.02155754670497,88.02655455017474,225.40173795042512
39,334.98324781333025,402.2418396190215,,,408.5786816494258,160.6163581622253,502.8912549702133,546.5738359922638,176.49017318891904,124.69968114339753,336.13978173017193,229.82266356360046,553.1031745882851,134.171880910443,267.63682359281415,501.2196640521226,367.1687192124749,577.8963979624265,522.322430813508,296.7552772060869,90.09156128659816,224.56329372453635
40,333.99368705353703,405.1043351246386,,,406.92576155128415,162.1170056268761,500.852400140142,545.6643533668671,177.0162827993897,122.53005068136628,334.3056490564194,231.09547344692035,551.1403596930597,133.1081867104566,267.6608304197357,498.9872860966086,369.1475938589869,578.9299079030635,520.2143707194956,297.49023999700614,92.1600667366872,223.723428933659
41,333.0041262937438,407.96683063025574,,,405.27042137754796,163.61985022150876,498.810560179198,544.7535391485471,177.54316269817,120.35724361706839,335.33041176205916,233.08257041574987,549.1746709986531,132.04293513308923,267.6848723955649,496.75163966888357,371.1293658181047,579.9649310276632,518.7328429755202,299.16468572925083,94.23160072975455,222.8823344788158
