"frame","targetX","targetY","chaserX","chaserY","d0_x","d0_y","d1_x","d1_y","d2_x","d2_y","d3_x","d3_y","d4_x","d4_y","d5_x","d5_y","d6_x","d6_y","d7_x","d7_y","d8_x","d8_y"
0,296.6159841413753,302.04317969721274,,,89.42779791221795,99.30161990597777,259.46432103977565,434.20581790025824,442.8316083118303,335.3639276153908,325.1285728669213,326.92508375883045,488.2844445593833,307.8997615199564,217.38505545826328,286.72912505911194,300.5381857833689,85.94775602265346,256.6527631521063,254.60106544466163,535.9965321268398,412.85123436345896
1,293.2319682827506,304.0863593944255,,,89.84416358210981,97.3425415534301,261.43686674251194,433.8588138468208,444.4866427904137,334.2360050838376,327.1225479522311,327.11326378340567,490.01467404993116,306.89097300271214,216.59900201154102,288.57126195450854,302.2039119819124,84.83568381547845,256.14546974423615,256.5385900924576,534.3693984240608,414.0190461101742
2,289.8479524241259,306.1295390916382,,,90.26113742764745,95.38060162071781,263.4122936968579,433.5113029326368,444.21681987903025,332.2484761950095,329.1194355905511,327.3017186781641,491.74743084643586,305.88071097155375,215.81180039483948,290.41608961640435,303.8720712679551,83.72198723030674,255.63743534468915,258.47894483742317,532.7398880049433,415.18856365233455
3,286.46393656550117,308.17271878885094,,,90.67870993476754,93.41584487328834,265.3905568296336,433.1632930868387,445.2639472719259,330.5343699852548,331.10688290386065,327.0107048432852,493.48267541270576,304.86899847756,215.02346856968336,292.2635659514945,305.54262557922215,82.60669167827612,255.12867154525094,260.4220854066187,531.9046984468193,417.0153351972391
4,283.07992070687646,310.2158984860637,,,91.09687544645945,91.44829792843473,267.3716293405701,432.8147890240457,446.3125617151438,328.81782953281964,333.0971526380024,326.7192777327917,495.220384240735,303.85584922677776,214.23401721589818,294.1136659313275,307.5146192135338,82.2100249647678,254.6191852383346,262.36798547559346,530.1456542974798,417.990971941138
5,279.69590484825176,312.2590781832764,,,91.51563105403542,89.477974472077,269.19354596415286,433.67394593536204,447.3626559147012,327.09886677766593,335.09023094900056,326.4274393738006,496.9605452433181,302.84127026649986,213.4434518247725,295.9663766869243,309.4893956343127,81.81279849348788,253.04847648032174,263.62909799200565,529.5835833940927,419.92529535802447
6,276.31188898962705,314.30225788048915,,,91.93496190991624,87.50494436485234,271.0179653708156,434.53428307817353,448.4141926380059,325.3775426680775,337.0860471694119,326.13520011385856,498.7030967205571,301.82529757007495,212.65180042693336,297.82163252777434,311.46688482303534,81.41502634866923,251.47561002570944,264.89194290990497,529.0207403689034,421.86227597220324
7,272.92787313100234,316.3454375777019,,,92.3548681468177,85.52920698230814,272.90689046145155,435.24970005765977,449.4671722178631,323.65385665926533,339.0846019309009,325.8425598604735,500.5558811267207,302.6296913771423,211.85906277182772,299.6794340410553,313.4470874055657,81.01670840441928,249.9005853766946,266.1565206289745,528.4571250437754,423.8019143967175
8,269.54385727237764,318.3886172749146,,,92.77546591870674,83.55021579830482,274.79892638415987,435.9662952427275,450.5218859282397,321.9273319472428,341.08644807132333,325.54943766384446,502.411716845603,303.4354099239075,211.06501957330235,301.540295129626,315.4305511432016,80.61773447849907,248.32296685182035,267.4231809552082,527.8925815121036,425.7447471720557
9,266.15984141375293,320.43179697212736,,,93.1967562845448,81.56796583023082,276.6940779026201,436.6840704375866,451.57833642464465,320.1979641850467,343.01580990101587,324.9294671497047,504.27060854974053,304.2424552389711,210.26966883215238,303.40422047867554,317.4172810298155,80.2181035663907,246.74275047903245,268.6919270777443,527.3271083525067,427.6907791897915
10,262.7758255551282,322.4749766693401,,,95.22670635967515,81.548595424559,278.59251959387603,437.40309176205415,452.934347916077,318.6872341114595,344.9485212960298,324.30842030467534,506.13272747600536,305.05090166551025,209.4729372824781,305.271381788764,319.4074600784418,79.81777885500426,247.72526066379598,270.4683690995884,525.3659543740242,427.16642473637296
11,259.3918096965035,324.51815636655283,,,97.2658911486788,81.52913689841752,280.42579961016867,436.50993017543857,454.2965282184007,317.16963137625345,346.89002504360025,323.68454817345497,508.00331761330773,305.8630259024165,208.67258121612966,307.14703724886397,321.40669291331426,79.41563297362387,248.71224051534838,272.2528925683534,523.3958786510739,426.639684872887
12,256.0077938378788,326.56133606376557,,,99.3070732274523,81.509659313525,282.2608752417687,435.61589377722703,455.660042715054,315.65054221743634,348.83343040675453,323.0600649875464,509.8757399095027,306.6759455784801,207.87144123701756,309.02452982911234,323.29699071279396,78.64519291476037,249.70018706926695,274.0391638975808,521.423873327575,426.11242909139975
13,251.95409477441052,326.0768378461075,,,101.35096961955189,81.49015582782297,283.86644423447814,434.3509664839638,457.02537037948247,314.12943301151506,350.7794200621824,322.4347513793786,511.75065210644857,307.4899462549761,207.06923592182204,310.9045190524496,325.1898021834256,77.87372834380632,250.68944737002104,275.82781056613896,519.4492456802844,425.5844721782453
14,247.90039571094223,325.5923396284494,,,103.39720649229695,81.4706300085374,285.47385177593543,433.08459071324387,458.39226149056395,312.60658197236296,352.7276380845385,321.80872172004354,513.6277112790073,308.30487904957556,206.26611199547716,312.7866610651395,327.0847811262588,77.10138036315305,251.6798404799509,277.618505427025,517.4723568724925,425.05591069778416
15,243.84669664747395,325.1078414107913,,,105.4457787254206,81.45108190452746,287.0830938439495,431.8167696338997,458.7421254400496,310.5880118002991,354.67807959882697,321.1819775760456,515.5069127302426,309.1207419230848,205.4620714676275,314.6709511575273,328.9819227995169,76.32815090543497,252.67136392081116,279.41124399941094,515.4932118509375,424.52674597262757
16,239.79299758400566,324.6233431931332,,,107.49671117549119,81.43151127860413,288.6941899644296,430.5474878626899,459.0923924775052,308.56711597749586,356.6307682709367,320.55451134271823,517.3882792616446,309.93754477486243,204.65710458236208,316.5574121928465,331.03141833498097,76.24893617028793,253.66402972335658,281.2060480356802,513.5117866014538,423.99697158209926
17,235.73929852053737,324.13884497547514,,,109.54993948673864,81.41191874486992,290.6142551073695,429.8198339529544,459.4430516119764,306.5439579172104,358.585642827868,319.92634270919,519.2717518382158,310.75526197462676,203.85123659856438,318.44598497624037,333.0832081231065,76.1696327603359,254.65780673893954,283.0028612170614,511.5281432987596,423.46660414987633
18,231.6855994570691,323.65434675781705,,,111.60555158146012,81.39230346434333,292.5365494322916,429.09133524220226,459.79411785921,304.51845098479845,360.54278698026377,319.2974447763436,521.1574111130598,311.5739285382473,203.044433007766,320.33675037921086,335.1373800245909,76.09023727968865,255.7045390187249,284.7721202081791,509.54219700029165,422.9356209648347
19,227.6319003936008,323.16984854015897,,,113.66351108581163,81.3726657841147,294.4610389243961,428.36200462114294,460.1455850071251,302.4906310213964,362.3116146782975,318.245384162736,523.0452237196301,312.3935299795036,201.97378017512096,322.09438671019194,337.1938976910743,76.010751133241,256.7524666161677,286.54339960752674,508.20854681137604,421.3681516242603
20,223.57820133013252,322.6853503225009,,,115.72310464686983,81.35301251121625,296.387056495627,427.63209489850743,460.49733122625076,300.461200932623,364.08184685720494,317.1924881941577,524.9345352832229,313.21378219898423,200.90227722495027,323.85341863590094,339.25204826941933,75.9312018733694,257.8012262868923,288.3160854344429,506.87383768032333,419.79943768495446
21,219.52450226666423,322.2008521048428,,,117.78573491187669,81.33333026115815,298.3159138238247,426.9011089830838,460.8495960666971,298.4287786134986,365.85468910013157,316.13803981572255,526.9961609799211,313.1464733005887,199.82919443043488,325.6150441117626,340.36860715695065,77.66559722961448,258.8515322688375,290.0913849430836,505.537160628723,418.2284108039576
22,215.47080320319594,321.7163538871847,,,119.85471984037625,81.31358737295369,300.2233270473221,427.702896492852,458.92542678818046,297.6680809050717,367.63299321185286,315.08034283537893,529.0641382451834,313.0789570332785,198.75280562408858,327.38209689919296,341.4886059998246,79.4053360053949,259.9050740905708,291.8721538909968,504.1963654697694,416.65254381790845
23,211.41710413972766,321.2318556695266,,,121.92724490810471,81.29381070365588,302.1340039525821,428.50605590213354,456.99796515743253,296.906081603887,369.4143400930309,314.0208360813048,531.1356539255111,313.0113252421754,197.6745750613397,329.1521732044876,342.61052121810826,81.14805156336612,260.9604185763453,293.6559698258277,502.85327614159553,415.07398044269763
24,207.36340507625937,320.74735745186854,,,124.00365140412428,81.27399699657988,304.04825917663334,429.3107194696528,455.06689377343235,296.14265522918146,371.1990230835224,312.95934508127203,533.2110491437476,312.94356679014476,196.59432518665307,330.92556451154303,343.73453756102305,82.89403088184639,262.0177395129757,295.4431264940198,501.50767147356066,413.49246073145054
25,203.30970601279108,320.26285923421045,,,126.08317771200889,81.25415351930305,305.96539057939634,430.11659204848564,453.1329209443502,295.37808180226506,371.4450726818859,310.89433103194455,535.2895626543988,312.8757065306776,195.51245223075244,332.70162034852154,344.8602427445044,84.64263354359029,263.07664907996804,297.2329683746637,500.1600450273157,411.9085647783792
26,199.2560069493228,319.77836101655237,,,128.16610297275017,81.23427760817648,307.8856555031123,430.92378181330145,451.19578706727015,294.6122586921763,371.69152444442597,308.8259417498175,537.3714734625056,312.80773535468967,194.4288109706183,334.48057912067225,343.86979696321146,86.47511542562795,264.13728941789793,299.0257357235501,498.8102159069608,410.3220799724263
27,195.2023078858545,319.2938627988943,,,130.25330856382183,81.21436085282625,309.80986649649776,431.73263032166307,450.5784594338716,292.6183353111039,371.9384826557446,306.75330200823026,539.4576625162822,312.739624500581,195.08395994928193,336.4623973949599,342.8773158543923,88.31136298660157,265.20010933043557,300.82218713955274,497.4576129403074,408.7323350019531
28,191.14860882238622,318.8093645812362,,,132.34402721655513,81.1944105747651,311.73731620862696,432.54284023624984,449.9600927509176,290.62105587549803,372.1858565325962,304.67717372136235,541.5473629207446,312.6713990062896,195.7402116361644,338.44755134917744,341.8831642597579,90.1507012114443,266.2647181189248,302.6216622368945,496.10273335191346,407.1399142662695
29,187.14271022626428,319.92137559341313,,,134.43924966934497,81.17441732006367,313.66891800889636,433.3547954949336,449.34039399016444,288.61947392543226,372.4337632991692,302.59657306482217,543.6415649317659,312.603026541489,196.39787701224918,340.4369816972941,340.88687107615254,91.9940017157598,267.33162027439363,304.4250137410567,494.7449350988016,405.54406315768995
30,183.13681163014235,321.03338660559007,,,136.54214301340392,81.1543508673671,315.66173403054734,434.0265449890625,451.0516375898106,287.3970957426749,372.6825776857654,300.508355049376,545.7434340980816,312.5344037558966,197.05795018975127,342.4336956175524,339.8869303291711,93.84405079120006,268.40242850218357,306.23496755767985,493.38216576362106,403.9423694235127
31,179.1309130340204,322.145397617767,,,138.64857777343363,81.1342506213941,317.6351980509086,433.28971992265326,452.76576304051724,286.1726589915973,374.78906459810275,300.4947791036977,547.8488429555829,312.4656654048479,197.71913497555212,344.43377214038225,338.88530561369873,95.69721547559928,269.4750400441407,308.0479694601085,492.0171014318342,402.3379783277281
32,175.12501443789847,323.25740862994394,,,140.76001496771866,81.1141026406605,319.6133487220053,432.5511450185456,454.48395925573806,284.945314405697,376.90055406854856,300.4811709173931,549.9592518109906,312.3967638115814,198.38188996589213,346.4385985142404,336.9898021948225,94.7668178425592,270.5501988611533,309.8652769422749,490.6487952979732,400.72977706837764
33,171.11911584177653,324.3694196421209,,,142.87369753867895,81.0939332338546,321.59360302819425,431.811784687873,456.2039826613274,283.7166646183381,376.9590649176882,302.59413975206274,552.0719049495018,312.327788945934,199.04534975323045,348.44555689107267,336.0375265290472,92.87969519892303,271.626501039918,311.6845170132217,489.27903405917897,399.11986559116866
34,167.1132172456546,325.4814306542978,,,144.98942748492885,81.07374429036629,323.57577546711957,431.07170819097377,457.92567213232627,282.4868247245513,377.0176324421623,304.709155270676,553.2242887406168,310.5533221536628,201.15378687212817,348.6222309258151,335.2448299032867,90.91797328733473,271.06657805957616,313.72491086122824,487.90794602924234,397.5083947062122
