"frame","targetX","targetY","chaserX","chaserY","d0_x","d0_y","d1_x","d1_y","d2_x","d2_y","d3_x","d3_y","d4_x","d4_y","d5_x","d5_y","d6_x","d6_y","d7_x","d7_y","d8_x","d8_y"
0,297.6282898186624,302.28434334583784,,,139.6898637046198,189.0822338036457,20.884137161065823,431.8849236514843,117.6349193297401,208.87606873864854,162.18904277899972,40.09301779004566,180.0033549352145,563.8201912638236,185.8538316173636,229.61458403279056,211.11540751740358,111.62048691798157,113.67744284426774,300.66362105600757,306.12982722587174,235.35387152344774
1,295.25657963732476,304.5686866916757,,,140.60330304046676,187.29989807817353,18.99453175366202,432.54861293336046,116.5527056368029,210.5612706794812,161.52700972722707,41.983204102800975,180.51122377225084,565.7574990098811,187.82959816237553,229.28680572634156,211.73559476355942,109.71616030779292,112.21275338634594,299.29768663209853,305.3817720860621,233.49604872071026
2,292.88486945598714,306.8530300375135,,,141.5181412428742,185.51483283389473,17.102032551658862,433.21331860757545,115.4688346115318,212.2490533857245,160.8639628195127,43.87628509977036,178.93613678402653,566.9994683502606,189.80839045156407,228.95852545102153,209.84161327396023,109.05569003596247,110.7458208620006,297.9296603779886,304.63257135367786,231.6353807961436
3,290.5131592746495,309.13737338335136,,,142.43434099401378,183.72711088669985,15.206716753363333,433.8790135596382,114.3833504668956,213.93934800981046,160.1999291026837,45.7721835589144,177.35870560238513,568.2432861068696,191.4797907931372,227.84416794884385,207.94481298198806,108.3942367898106,109.27670510993984,296.55959809782854,303.8822555899093,229.77194364960206
4,288.1414490933119,311.4217167291892,,,143.3517370084194,181.93705474754222,13.308926280015466,434.5455776959772,113.29644902782498,215.63184961699713,159.53502837061936,47.67055745387913,178.20053202887507,570.070098822023,193.153373447933,226.72835545287964,206.04553607669055,107.73191989769114,107.80567116350541,295.18774695538605,303.13096015420234,227.9060734513114
5,285.7697389119743,313.70606007502704,,,144.27045360201672,180.1444218467111,12,435.2131013424019,112.20798300878963,217.326787557424,158.86917052291736,49.57166403246615,179.04357025315394,571.8995412094455,194.8293652023922,225.6109367598742,204.14352518789954,107.06864960933679,106.33251968354192,293.81392105172336,302.3785832388469,226.03751735803152
6,283.39802873063667,315.9904034208649,,,145.19048250689283,178.34922831685589,13.518633698769964,433.88534960190145,111.11796220534815,219.02414657763939,158.20236155190955,51.47548618582637,179.88781268837002,573.7315968052236,196.50775097356765,224.49192192594325,202.2387974326024,106.40443189379285,104.85726392755248,292.4381327504714,301.6251316147958,224.16629218567613
7,281.02631854929905,318.2747467667027,,,146.11274585920373,176.54967485270245,15.040955659022346,432.5543731893773,110.02529410009346,220.7256279243257,157.53393312135339,53.38393209666234,180.73410551062685,575.568101861127,198.19021299143606,223.37018937324075,200.32944372042044,105.73860101200732,103.14734247902304,291.3587204097873,300.8698501047057,222.2905224231844
8,278.65460836796143,320.55909011254056,,,147.03634331174652,174.747518244135,16.565479734402814,431.2214714526644,108.93104539557831,222.42957054918543,156.86453777552083,55.295138670302315,181.58162253793054,577.4072635137768,199.8751087750641,222.2468341780957,198.41732803225426,105.07180697243008,101.4349475432892,290.2777466449715,300.0640757232029,220.43269349073103
9,276.2828981866238,322.8434334583784,,,147.96156540007178,172.9421915877249,18.08546177856412,432.5649351978012,107.83487187458019,224.1365104605275,156.19396494308037,57.20970711396334,183.03929584084926,578.8180890845076,201.76550255832416,221.51086434632165,196.50184887490715,104.40384002202111,99.71954045320321,289.19487141469216,299.2568839602542,218.57159658113778
10,273.9111880052862,325.12777680421624,,,149.9917486021044,173.02264229346477,19.6078198508586,433.9104990385718,106.73698482075795,225.8461186515815,155.5223438746286,59.12726840119281,184.49924777119654,580.2311200505324,203.65885139544756,220.7737440502825,194.58337545036864,103.73482890910228,98.00145184755489,288.11030343940854,298.4484303992829,216.7075904144038
11,271.5394778239486,327.4121201500541,,,152.02547323523072,173.10323333660403,21.132833509214272,435.2584100673299,106.53014393335138,227.8709020096018,154.84955123716148,61.048174662984124,185.96174642696064,581.6466158935172,205.55550297117915,220.03533792903622,192.60832267950914,103.24320166012258,96.28036622547785,287.0238435546918,296.87514884468595,215.41634452396153
12,269.16776764261095,329.6964634958919,,,154.0619738069506,173.18393438273154,22.65992873957874,436.6081609313265,106.32302071784949,229.8984491017951,154.17584026934747,62.97170287159156,187.42624132469155,583.0640438218371,207.4547433872197,219.2959239181198,190.6305740543921,102.75090336304136,94.55693140237167,285.93590070326695,295.29971983466913,214.12333614353284
13,266.79605746127334,331.98080684172976,,,154.5862911271571,175.158532629825,24.190714168475253,437.96117344434003,106.11539699277189,231.93089572556607,155.29063065658167,64.68377450625624,188.89427514836126,584.4848969395994,209.35857328403128,218.5547231263639,188.6480462348096,102.25741543585909,92.82933192959085,284.8453288572428,293.7204838283992,212.82720323129206
14,265.16805701551687,334.89915378845046,,,155.1115119811034,177.13653361810225,25.724137534800352,439.31651754627654,105.90741547855868,233.9668447781682,156.40734211468052,66.39879648115819,190.364838772287,585.9081985531136,211.2656839699382,217.81224505480526,186.6621020093483,101.7630771019189,91.0987553581097,283.75287767513606,292.1385263918812,211.52883674832538
15,263.5400565697604,337.81750073517117,,,155.6378979218924,179.1189223661361,27.260962463296785,440.6748681807386,105.69897260314109,236.00731013555097,155.5691168009519,68.27078089092662,191.83866451788342,587.3346574479327,213.17702516107167,217.06811995909354,184.67175240380732,101.26764218720818,89.36433988347275,282.6580031305734,290.5530597310414,210.2275901251378
16,261.9120561240039,340.73584768189187,,,156.16533192850594,181.1052581684827,28.800847301948572,442.0359233723847,105.490114705518,238.0518381812419,154.72922253059562,70.14649253338102,193.31542473850206,588,215.09217194659175,216.32251326590443,182.67743989341116,100.77122083201311,89.86607286539143,280.66502029926966,288.96443631145405,208.92375264226084
17,260.28405567824746,343.6541946286126,,,156.69369679902184,183.09509963840696,30.84567410066501,441.79650350045097,105.28088819632421,240.09997459751798,153.88784593780989,72.02551460375112,194.79479128098194,586.5681783823336,217.01069875878434,215.57559065764855,180.67960763741146,100.27392334688687,91.90956383659267,280.91558598416026,287.3730091435737,207.61761402742778
18,258.656055232491,346.5725415753333,,,157.22309988121225,185.0888510515538,32.8945188861426,441.5566131799314,105.07125056705681,242.15213550379528,152.62588901445187,73.65731638229117,196.2770647078915,585.1335433037385,218.9329953843113,214.82720038222718,178.67784973667716,99.77564869601103,93.68823993908366,281.96039392980634,285.7784548974998,206.3089089127494
19,257.0280547867345,349.490888522054,,,157.75326211524222,187.0854614583557,34.946301667903604,441.3163788622115,104.86131232225229,244.20723916159693,151.36212247390034,75.29145812703784,197.76146368079173,583.6968509914482,220.8580485389719,214.07773693236948,176.6732213611688,99.27665953074992,95.4694666221826,283.00670010600794,286.53992347517743,204.3885728181683
