"frame","targetX","targetY","chaserX","chaserY","d0_x","d0_y","d1_x","d1_y","d2_x","d2_y","d3_x","d3_y","d4_x","d4_y","d5_x","d5_y","d6_x","d6_y","d7_x","d7_y","d8_x","d8_y"
0,300.85820982762147,296.1543998552079,,,273.5625216641092,194.30443515646166,435.701989243434,458.945648814021,444.1167876850562,152.10261840882256,52.63076803265214,289.0286659659813,352.4170641267861,250.91819882025715,159.36096597530533,436.3758082936099,522.2393808420584,463.1102859239088,255.55242435801975,170.89558655031118,61.109627010012936,249.22290212146044
1,301.71641965524293,292.30879971041577,,,272.24686627168353,195.8175361523625,433.6972263507365,458.9823840760729,444.7541558656987,154.00371954703678,52.19875351166288,290.98667188759373,353.5054320052286,252.60220567790037,159.33243973688894,434.37091179026197,522.4183427043745,461.1131889339628,253.7188026924769,171.70691590579318,63.065053321321024,248.77935767446672
2,302.5746294828644,288.46319956562365,,,270.92984368615134,197.33220952144165,431.69038016326226,459.01915751240455,445.39218638192534,155.90679625756715,51.76629005299708,292.9467125154171,355.11784945402513,253.7975691693188,159.30388385478565,432.3639318532928,522.597490538964,459.11401661543664,254.0157768636168,173.69200790554416,64.26853264004649,247.17298865235517
3,303.43283931048586,284.61759942083154,,,269.6112122870133,198.84873314514167,429.681082505717,459.05597586945765,446.03099628658975,157.81219767819633,51.33329831706103,294.90914743781434,356.7322365570694,254.99439286124561,159.2752930901434,430.3545002828704,522.7768572122258,457.1124022008812,254.31311380460767,175.67952480146107,65.47348207319796,245.56465736447294
4,304.2910491381073,280.7719992760394,,,268.2911597976978,200.36689112763742,427.66961942638164,459.0928339056854,446.6704946372303,159.71965255155288,49.47330825493211,295.67581503406797,358.34836348646417,256.19250637108047,159.24667151320986,428.34290314633995,522.9564171891034,455.1086306447732,254.6107711858721,177.66918364602273,66.67973008137571,243.95459277659737
5,305.1492589657288,276.9263991312473,,,266.96904889581265,201.88741643681078,425.65501978928114,459.129749416177,447.3109901841596,161.63008179836734,47.61041783319308,296.44367812688677,359.9670105095767,257.3924881489792,161.24316629980646,428.07090494816043,524.4889485633123,453.8004555648296,256.5958802433422,178.01460582636201,67.88785904207784,242.3420175482644
6,306.00746879335026,273.0807989864552,,,265.64273162250504,203.41277938418722,423.6336947806617,459.1200108211714,447.95352350429005,163.5465891850542,45.74160051907157,297.2139842200359,361.5908073507351,258.5962877375101,163.2460130487108,427.79804137216263,526.0263557737067,452.48811845107775,258.58730503877194,178.36112698711662,69.09983173413995,240.72431181964788
7,306.8656786209717,269.2351988416631,,,267.0258943276578,204.8920173213442,421.6085555891102,459.1102538497134,448.59726926656236,165.46671296679492,43.869256799709795,297.9857438589238,363.21766825045415,259.8023588617043,165.2526391125955,427.52466291034,527.5666640278799,451.1733049944325,260.5824875962799,178.70830202346832,70.3140913842798,239.10355352622713
8,307.7238884485932,265.38959869687096,,,265.7077862792655,206.43427935372497,419.5797910724348,459.100479411706,449.242167437368,167.3902740791725,41.99356128371358,298.7588850717895,364.84744149304703,261.0105890473428,167.2628573601257,427.2507950570671,529.1097296817597,449.8561378100644,262.58124185171505,179.0560985590172,71.53052475464345,237.47989381458015
9,308.58209827621465,261.54399855207885,,,264.3850858210103,207.98191476909764,417.54395815329616,459.09067091865614,450.50755362610585,168.9851125269583,40.111330671753116,299.53471997986156,366.4828930157496,262.2230288182486,169.2800793932089,426.97597302296504,530.6581715185229,448.53438149389035,264.5869599510986,179.40510684973447,72.75119629092563,235.85057712292846
