"frame","targetX","targetY","chaserX","chaserY","d0_x","d0_y","d1_x","d1_y","d2_x","d2_y","d3_x","d3_y","d4_x","d4_y","d5_x","d5_y","d6_x","d6_y","d7_x","d7_y","d8_x","d8_y"
0,301.3197245057738,296.2360454562479,,,218.55081468942333,290.127436382855,103.08229991453314,494.17237673043945,293.1915837756787,16.46108117027428,59.10128585668229,263.9968177529562,118.95374686630002,471.9743123557775,410.3161072448683,557.895348647583,120.38900381029144,338.6403049163724,396.5057546845233,293.820448261036,445.59841423615484,429.5504444987138
1,302.63944901154764,292.4720909124958,,,216.60006332971753,290.5921076805327,101.17150491861781,494.7808278507971,293.23319539297455,14.456182480667863,57.19980988259571,263.35984098552194,120.95776144025659,472.04694753767444,412.1931848958606,558.6009900398105,122.35738598412118,339.0234783758249,396.91468729003014,291.85725585924934,444.0132085983942,430.7786437367413
2,303.95917351732146,288.7081363687437,,,214.64620314644847,291.0575195036865,99.25766477577575,495.3902486319834,293.274873324809,12.448088675365565,55.2953036128829,262.7218490972349,122.9649697209342,472.1196984749514,414.0732539599832,559.3077559805749,124.32890507893936,339.40726248136184,397.3242715927989,289.8909348071775,442.42547669063265,432.0088002999361
3,305.2788980230953,284.9441818249916,,,212.6889870753063,291.52373070332925,97.34053748220435,496.00071613484755,293.3166228413286,12,53.38752622400325,262.08276141444867,124.97562551847389,472.19257436691566,415.46177977435576,557.8517189979984,126.30381039201336,339.791705762226,397.73455938448996,287.9212364648421,440.677058312693,431.0132698847843
4,306.5986225288691,281.18022728123947,,,211.2614752366049,290.10137203350047,97.19909225247905,498.01091201641174,293.3584385520588,14.014732161257642,51.47672403798207,261.4426604527509,126.98946922773979,472.2655658042213,416.85250710811874,556.3933734565048,128.2818469341189,340.1767585811547,398.1454976909354,285.9484151491712,438.9258678026678,430.01616104776224
5,307.9183470346429,277.41627273748736,,,209.83148226204855,288.6765411844585,97.05740117902658,500.02460178779313,295.11156773597435,15.015512317018977,49.562600716761274,260.80144694164807,129.0068131670548,472.3386841067951,418.24565164316766,554.9324931875828,130.26332147039997,340.5624806543264,398.55715024278226,283.9721649038277,437.17163357598446,429.01731915156705
6,309.23807154041674,273.65231819373525,,,208.3991533182657,287.24938279879524,96.91547864570464,502.0415810280191,296.867560749221,16.017927300145182,47.64535057376323,260.15918597432955,131.01446603553998,472.09852328436534,419.64107195356644,553.4692264934039,132.2480328502336,340.94883282492447,398.9694752508651,281.9926863490875,435.41453371482413,428.0168455942566
7,310.55779604619056,269.88836364998315,,,206.9644756108455,285.8198841282865,96.77332338477704,504.0618677539432,298.62643327736873,17.02198606480082,45.72495648297369,259.51587181373986,133.0254110961395,471.85796864108227,421.0387805040361,552.0035603032028,134.2359988022378,341.3358185440753,399.3824763983152,280.0099618030752,433.6545525237299,427.01473143900836
8,311.8775205519644,266.12440910623104,,,205.5275740595911,284.3881696417879,96.63094777394168,506.0852860557994,300.3880321724257,18.02760118589905,43.801585656338865,258.8715604743259,135.03947325248174,471.61704112244365,419.8146604735569,550.3861479903317,136.2270462308706,341.723404116281,399.7961177244274,278.0241639049548,431.89184324722663,426.01106394158865
9,313.1972450577382,262.36045456247894,,,203.65178910574608,283.6081234119761,96.48835521125422,508.11178764099026,300.5735398435526,20.050625708159714,41.87528399863923,258.2262673337622,137.05660443527094,471.3757464786276,418.58867512986683,548.7662710657562,138.22112761612505,342.11158029109936,400.2103893568911,276.0353400494435,430.4292012882624,427.4209291172675
10,314.30152371282196,258.53737403217565,,,201.77298465246676,282.8268215216235,96.3455331136398,510.1415513380653,298.5763314073142,20.439852222864122,39.94588152346382,257.57993544818197,139.07698264616582,471.13406341659817,417.36071628593936,547.1437865835035,140.2184189256314,342.50038132312096,400.62532785308946,274.0433147328616,428.96420487680155,428.83306378929336
11,315.4058023679057,254.71429350187236,,,199.88772420439898,282.04283490220104,96.20222024716635,512.1782897598528,296.5722601135638,20.830416207439903,40.28354440538917,255.5662756569928,141.1043033311311,470.89154987719456,416.12853789916215,545.5157268795487,142.22257337742099,342.8905183629597,401.0416921713122,272.0444443691328,427.49417440808105,430.2500508737495
12,316.5100810229895,250.89121297156908,,,197.9998523249091,281.2577623175505,96.05870886609345,514.2178494378326,294.5654128135836,21.22152119475231,40.62167501232347,253.54982657774661,143.13443222699627,470.648700412069,414.8946527193739,543.8854120143654,144.2295039506295,343.28119581413836,401.4586332304647,270.04280520341604,425.7359600164748,429.2064602693039
13,317.61435967807324,247.0681324412658,,,196.1100508752722,280.47188732006725,95.91505080383965,516.2594937241539,292.5565143401727,21.613025925562184,40.960151218306116,251.53131651121174,145.16663609211898,470.40560273355396,413.6595064010339,542.2534308248261,146.2384857823812,343.67227257183515,401.8760004398394,268.0391201874373,423.9759485760121,428.16180302400306
14,318.718638333157,243.2450519109625,,,194.21668703081798,279.6845308986923,95.77112193708597,518.304986638608,290.5438289665499,22.00526866746008,41.29926547326592,249.5090014260062,147.2026707895856,470.1620468005963,411.7456424835621,541.5173046894618,146.84572120845993,341.7136960685854,402.2941544127039,266.03165809894233,422.21261940307807,427.11517653396635
15,319.82291698824076,239.42197138065922,,,192.3119573704025,278.8924479963467,95.62632906893296,520.3627585960384,288.5190614928006,22.399866032759924,41.64041542264494,247.4745464337556,149.25092775258767,469.9170288074443,409.82028968870173,540.7767596072567,148.50710129712238,340.4909096585977,402.71481855344393,264.01214526557135,420.3736641580659,426.18049262467036
16,320.9271956433245,235.59889085035593,,,190.40224680940602,278.0982937836884,95.48115756495773,522.4259116622692,286.48899921753906,22.79549527690689,43.08660675587846,245.99596401537488,151.3045409425174,469.6713700880571,407.88990206341174,540.0342779870186,150.172825923081,339.2649256412715,403.13658273809386,261.98735137166244,418.52990001369193,425.24336450099395
