"frame","targetX","targetY","chaserX","chaserY","d0_x","d0_y","d1_x","d1_y","d2_x","d2_y","d3_x","d3_y","d4_x","d4_y","d5_x","d5_y","d6_x","d6_y","d7_x","d7_y"
0,297.4632249727309,299.50750021662066,134.11048730006272,100.23246989995009,488.1399775553293,192.69490797838506,425.9046723115502,317.6648445627331,29.122700427855744,176.6453961898772,460.04559646824634,411.5043530628937,371.19578223992863,534.7340948998426,183.66120813120827,573.580123234136,473.13482661460193,200.36384836392344,541.687770748911,217.75902902230038
1,294.92644994546185,299.0150004332413,134.91632381123088,98.43448832738154,486.1432694221557,192.5360082439406,426.81855388662905,315.8824548855245,28.65507902115463,174.69772508964414,460.121999864517,409.50278991981617,372.64129667746744,533.3475234067147,183.57478527690256,575.5812787965403,473.0316884670958,198.3634846426924,541.777325444613,215.75801116851548
2,292.3896749181928,298.52250064986197,135.81383523409707,96.61666162318205,484.1436879572877,192.37687984731184,427.7337505687338,314.09750028825266,29.8556793470734,173.0908004683065,460.1985132079034,407.4983464585179,374.0888912600104,531.9589565895072,184.13728375063496,577.5066991008651,472.92840190024725,196.36024232925,541.8670090126029,213.75411378119995
3,289.8528998909237,298.0300008664826,136.5626083623868,94.8471089784345,482.1411040535053,192.21751251403614,428.6503214494801,312.30986552153666,31.058082414817154,171.4814629955295,460.27514143865176,405.4908932578539,375.53865945457335,530.5683047924575,184.70062683477036,579.435010488624,472.82496024513995,194.35399208000578,541.9568272434907,211.7472074744671
4,287.31612486365464,297.5375010831033,137.39890145284087,93.03536447993112,480.13512059142454,192.05787464101462,429.5684482880755,310.5191960911573,32.262526665114684,169.86939353407027,460.35189975240803,403.48003223284155,376.9908887552538,529.1752922444562,185.2649262422103,581.3665953507016,472.7213429889323,192.3443360485267,542.0467979485452,209.73689427178542
5,284.77934983638556,297.04500129972394,138.20194916353518,91.17197518733771,478.1230490040069,191.89775226979168,430.48936162584914,308.7230920098273,30.66733338408843,168.63269242109743,460.4288910263275,401.4630682791726,378.447525546907,527.7780519273089,185.83093828865498,583.3040425396435,472.6174112561326,190.32858074552567,542.1370417131435,207.72047980307846
6,282.2425748091165,296.5525015163446,138.98227860174947,89.40606487661148,476.10776827089035,191.7373745120198,431.41174377074447,306.92412323932655,29.06959585578556,167.39401883652752,461.5302441093507,399.76775154033766,379.90648559570667,526.3785830871894,186.39785309379656,585.2445798523922,472.5133137578227,188.30961042149804,543.9899718998278,206.9119458324052
7,279.7057997818474,296.06000173296525,139.86806521862974,87.59901115413058,474.0890117720098,191.57672014984706,431.3276258453457,304.9007320758379,27.469102700780446,166.15320890481388,462.63349670209334,398.0695108793994,381.36796192092646,524.9767005754647,186.96574566002047,587.1884640205167,472.40903672198493,186.2871579682487,545.8460978453958,206.10201737874596
8,277.16902475457834,295.5675019495859,140.7591724594621,85.73811184981741,472.06646749162127,191.4157643527947,431.24335008995484,302.87354443484594,25.865606549435952,164.91007084837747,463.73881932149436,396.36808381902404,382.8321804059868,523.5721877194379,187.53470375988456,588,472.30456403172906,184.26091079879285,547.7057064296757,205.29056926086704
9,274.6322497273093,295.07500216620656,141.58918508188327,83.85795269677811,470.0406550803191,191.25454847509977,431.1589381574705,300.8430811599598,24.259519386664437,163.66492406562955,464.84592797794636,394.66390750542973,381.63886553314893,521.9272238598742,188.1045812114646,586.0493216115444,472.89201472345377,182.31545245439193,549.5683198650042,204.4778099634483
