"frame","targetX","targetY","chaserX","chaserY","d0_x","d0_y","d1_x","d1_y","d2_x","d2_y","d3_x","d3_y","d4_x","d4_y","d5_x","d5_y","d6_x","d6_y","d7_x","d7_y"
0,303.00910776674175,300.27533743497474,125.54047675788495,464.76885628818343,566.2849212353403,577.741566074185,585.3618846111684,467.3090137591646,245.63421713251714,96.49869180950968,471.4638948076242,563.834507036312,488.25235071425146,365.0453141397911,200.361042395845,370.31623750528854,44.503807346967264,512.3777024751448,148.45870906347787,218.02989063549737
1,306.0182155334835,300.5506748699495,126.3813372901381,466.5412468727608,566.9921734518017,575.8686208611489,585.30949963674,469.31035962711906,247.1606157844957,95.20322408549552,469.4731908019448,564.0471735134456,487.94390637159654,363.06718584359584,200.57967650509084,368.3261800701881,46.005279593732226,511.05342510203945,149.66753804982912,219.62577971387384
2,309.02732330022525,300.82601230492423,127.2239631146293,468.3143257939426,567.7000057865229,573.9941393790245,586.898159759465,470.5313700510579,248.68826645337734,93.90669376391827,467.48085393642174,564.2600144286422,486.58198713498246,361.59753165507243,200.79848994730452,366.33449030558864,47.92959662338899,511.6117363147844,150.87735856897683,221.222977808148
3,312.036431066967,301.101349739899,127.99049895187821,470.09416621086217,568.4085063825229,572.1178882074825,588,471.7535332253689,250.2173593702879,92.60893939397786,465.486636114751,564.473056285976,485.21878211662874,360.1264899727327,201.32259783646748,364.39861777007326,49.66036904883564,510.5984651938306,152.0883212741587,222.82168380985817
4,315.04553883370875,301.3766871748737,128.81028488526562,471.95439847671327,569.1185615187973,570.2375203026199,587.459193153307,473.6893766355539,251.74980731122537,91.30833758615843,463.4880427259498,564.6865655841973,485.16321228539886,358.1172926832552,201.8478556848915,362.4584976843941,51.394939008760566,509.5829708273702,153.3019409852861,224.4238975755429
5,318.0546466004505,301.65202460984847,129.56529456904596,473.79804878488915,569.8301922961083,568.3529797854019,586.9171862343702,475.6295157604822,253.28565581606105,90.00484969037772,461.4850143776674,564.900548668178,485.1075191424682,356.1036369038124,202.37427910170376,360.51407239385594,53.36889037925076,509.18119064967016,154.51825376758782,226.02966671830978
6,321.06375436719225,301.9273620448232,130.44007410044404,475.62928240054265,570.5433044399529,566.4645163135528,587.7618843454285,477.4629028760094,254.8247014206404,88.69864838842165,460.91890183040044,562.9629367880447,485.0517100658811,354.0857893968939,202.9017983480628,358.565599489521,55.346950826515595,508.77857410607913,155.73709848795,227.6387785111483
7,324.072862133934,302.20269947979796,131.30689247126048,477.5445636774116,571.2577140433988,564.5726169093831,588,479.2996257161299,256.3665472152232,87.39007054101597,460.3517592794149,561.0217995533662,484.9957994484313,352.06427055210173,203.4302773802241,356.6135814697375,57.35433571716767,508.5334815974721,156.95816081433475,229.2508179747091
8,327.08196990067574,302.4780369147727,132.11719818519,479.3646019455313,571.9734762193251,562.6771356229744,587.1521628635961,481.1398259741852,257.686698809187,85.85307198260185,459.78354297269703,559.0769872157891,484.9397829769138,350.03892442007117,201.5094693918084,355.9688633365577,58.09985175844085,510.41745894123625,158.18153494516844,230.8659094692131
9,330.0910776674175,302.75337434974745,132.9569174944547,481.1912905265438,572.6905034777982,560.7783041451561,586.3028272071533,482.98327871652555,259.3923226778633,86.95331572339241,459.21432236517,557.1287374960372,484.8836674984038,348.00999856543314,199.58526644799616,355.323005688487,58.846685471091284,512.304766143627,159.4070713434607,232.48385557678532
