"frame","targetX","targetY","chaserX","chaserY","d0_x","d0_y","d1_x","d1_y","d2_x","d2_y","d3_x","d3_y","d4_x","d4_y","d5_x","d5_y","d6_x","d6_y","d7_x","d7_y"
0,299.1490801120548,302.92524096785087,450.49967688725866,211.01910516968883,178.8229288212474,496.57146051369153,203.83809357148385,257.5823811443746,440.04197168434,38.92887572638406,245.13910610639513,117.5785409493268,548.9537817916743,308.75289399723493,22.78517415279816,391.6292378873757,120.41668009012014,550.8260383239931,395.17162424063287,378.5850643399802
1,298.29816022410955,305.85048193570174,450.9067806229668,212.99138952381955,179.61319491695198,494.7282419418421,205.02617590179017,259.1980653901494,439.4349011743218,40.840273278307045,246.6524370671775,118.89452142363804,549.3114290735391,306.77955580336,22.783191501429958,393.63472318393724,118.5805459048813,550.0194489244668,394.2018589931687,380.3404932250227
2,297.4472403361643,308.7757229035526,451.38995337890447,214.92057753556134,181.61474445083203,494.92490284521836,206.21763585923495,260.81834290258297,438.82610480930407,42.7571047871866,248.27369452005178,120.08464760139894,548.0276164344958,305.231427528531,24.794365866823874,393.64205254097556,116.7391917306773,549.2105664530077,393.2293367773243,382.1009126600385
3,296.5963204482191,311.7009638714035,451.7972571367735,216.84712456979392,183.62060627964843,495.12198745023346,207.41166279124337,262.4421112676755,438.21599680575946,44.67806606786028,249.89844493684538,121.27733788012418,546.7410378490451,303.6799638450062,26.809873263644292,393.6493976889542,114.89387039895507,548.3999412618573,392.25471928351857,383.8651248804373
4,295.7454005602739,314.62620483925434,452.1984596089206,218.838761544477,185.62972714104131,495.3193922693026,208.6076297236111,264.0685178573568,437.6048975266294,46.60214843858212,251.52583517382047,122.47196598747558,545.4523688895407,302.1259794142329,28.828655364719033,393.65675477099336,113.04555087351493,547.5879990039642,391.2785182757757,385.6322035121789
5,294.89448067232865,317.5514458071052,452.64146108847683,220.87645013095786,187.6448907109824,495.1657842646244,209.80490829540622,265.69670815773304,436.99312804342685,48.52834098662635,253.15501020027494,123.66790426593982,546.6893263884839,300.5277254361283,30.84965150209146,393.66411992168275,111.19520426128969,546.7751662737267,390.3012466500281,387.4012201322895
6,294.04356078438343,320.4766867749561,453.0786397157055,222.8371716762968,189.6617398742187,495.01204777378916,211.00318833664198,267.32626036574527,436.3808468426871,50.45614470772509,254.7855479580443,124.86484289274985,547.9273185464979,298.92813459076905,32.87233811143831,393.671491232988,109.65846768357406,548.0903682150924,390.8134400845354,389.35799639479603
7,293.1926408964382,323.40192774280695,453.44755074855766,224.77551566329825,191.68025752337874,494.8581841008247,212.20245968323556,268.95716065916247,435.768059117918,52.38554324981042,254.592391810476,126.8799801666062,549.1663348626527,297.32722044624694,34.896698035873506,393.678868642384,108.12045980436741,549.4066581882089,391.32605724311253,391.3163914465057
8,292.341721008493,326.3271687106578,453.86131184811524,226.73326058296155,193.61088007224018,494.24398057455284,213.40267616346208,270.5893462486252,435.15478846133357,54.316462331395535,254.39908343849908,128.8967055497907,550.4063276350494,295.72504463746037,36.922653337914596,393.68625186584177,106.58123983668848,550.7239855161557,391.8390783900938,393.27632988957146
9,291.49080112054776,329.2524096785087,454.23510422157494,228.79010228384342,195.54537828985812,493.62854405252097,214.60530204345253,272.22480840330655,433.12916772151016,54.450275951834726,254.20538700557358,130.91747945067365,551.6488096569626,294.11965250721926,38.95267568644846,393.69364991090646,104.5523556383852,550.7923549281243,392.3531294121441,395.24020285220087
10,290.63988123260253,332.17765064635955,454.602506310791,230.8516943920985,197.48311350424652,493.01207772026953,215.80994027788927,273.8630071775747,431.1001575095574,54.584313482667454,254.01136646031648,132.94163471346812,552.893370724623,292.51157407357726,40.986094872325616,393.70106033512343,102.52007650720591,550.8608387426617,392.8680405960095,397.20736196437525
