"frame","targetX","targetY","chaserX","chaserY","d0_x","d0_y","d1_x","d1_y","d2_x","d2_y","d3_x","d3_y","d4_x","d4_y","d5_x","d5_y","d6_x","d6_y","d7_x","d7_y"
0,303.3216548974052,299.99936668048235,475.1603676946392,396.91403259828684,363.8726068514705,302.34199130937014,446.7908142486113,291.8008119849845,56.740388874365316,238.80370093488244,18.679255408462854,147.45352330227018,203.91259839228658,141.50803905567034,232.70415392313765,518.28607728083,459.0175578110292,435.7385090661126,158.98537695600865,50.18365404629008
1,306.6433097948104,299.9987333609647,474.4285259627036,398.7579703265247,365.517882264617,303.4818274012491,448.71688182617225,291.2563662226511,54.81015425302774,238.27421834966916,18.021065566375814,149.34374647248788,203.94459655646597,143.50932204888832,231.0020805856088,519.3392172787068,460.986693180754,436.0972058700473,159.3784755987739,48.221096796549205
2,309.96496469221563,299.99810004144706,473.6785318512744,400.5908179328484,367.1644524994667,304.6225605371719,450.6444652071551,290.71149198482743,52.878400548830285,237.74431906489463,17.362357732902332,151.23545723679774,203.97661990300517,145.512180039601,229.29866772675715,520.3931860913308,462.95737824799016,436.45618496617624,159.7718836077705,46.25699502623727
3,313.28661958962084,299.9974667219294,472.89915774019175,402.4725224135759,368.8122927825893,305.7641735542674,452.57353539015355,290.1661974694049,50.94515682592372,237.21401105314493,16.70314181861421,153.12862713351404,204.00866795009776,147.51658289385986,227.59394097523713,521.4479678612413,464.929583362846,436.8154409534887,160.16559506398838,44.29137828619705
4,316.60827448702605,299.99683340241177,472.10034704677685,404.37138785044004,370.6530696502034,306.5615156616206,454.5039386395576,289.6205261331668,48.95302236050166,237.44983765083742,15.44088866474604,154.68777141421788,205.64932407048678,148.67090581537343,226.5321629507271,519.745956892073,466.9031513521099,437.1749452013839,158.38024565522096,43.376642586054395
5,319.92992938443126,299.9962000828941,471.44730755768694,406.23219647980835,372.49515336461593,307.359423836485,456.4357123653896,289.0744674013397,46.959473593002066,237.68583167199094,14.177739382986466,156.24802259861406,207.29114496333463,149.82604824045686,225.4696311242564,518.0427375919955,468.4532436658265,435.8993497775225,157.31524266830368,45.078317791337895
6,323.2515842818365,299.9955667633765,470.740351740713,408.1216141566953,374.3386141370654,308.1579284912251,458.3689301974334,288.5280004608305,44.96443453907801,237.9220021115455,12.913645828251305,157.80944015586087,208.9341932068387,150.98205419750022,226.6393735891215,516.4094403535564,470.0044947580839,434.6228007765156,156.24944353357236,46.78126509164039
7,326.5732391792417,299.9949334438588,470.0582566805128,409.9692311512692,376.18348271013997,308.95704294215335,460.3036243751164,287.9811161984494,42.96787192833669,238.15835290801215,12,159.3720501250353,210.57849620139518,152.13894296470872,227.81000935434747,514.774895810641,471.5569304984174,433.34527690991433,154.90351626876992,48.27478568254699
8,329.8948940766469,299.9943001243412,469.2848961379097,411.80634203344425,378.0301485102971,309.75693587137226,462.2402032858494,287.43369917442783,40.96936431378944,238.39493395180295,13.266291298743917,160.93618235167403,212.22440103681822,153.29695874543694,228.98178552509162,513.1387589333106,473.1108785847235,432.0665085099489,153.5562778336398,49.76976122568896
9,333.2165489740521,299.99366680482353,468.5595257975633,413.76151861974677,379.8784077260153,310.55751899685765,462.04802402193724,285.4286897979357,38.9691322653291,238.6317191321065,14.533675230632442,162.50166420672377,213.87172605903226,154.45597373260782,230.15457277557982,511.50121029757736,474.6661675119449,430.7866367108371,152.20787691925284,51.26602672464949
10,336.5382038714573,299.9930334853059,467.8956811018444,415.5977740422181,381.728252949295,311.35878910979574,461.8556798473009,283.42195990518434,36.967183800076924,238.86870749986514,15.802146715869624,164.0684894155836,215.52046466540116,155.61598328077852,231.32836640516865,509.8622564668929,476.42457644137704,431.7725166126871,150.85831893012877,52.763576182253445
11,339.8598587688625,299.99240016578824,467.1593182628392,417.41552246093516,383.5795438430891,312.1606854224622,461.6631853539793,281.41366173515235,34.9636707942723,239.1058810761435,17.07160952286794,165.63653911229633,217.17049177567256,156.7768993867407,232.50307736493136,508.22202177919536,478.1843595830457,432.75916698845947,149.50770624941873,54.26229598809382
12,343.18151366626773,299.9917668462706,466.43170946050185,419.27331606213795,385.43217282664534,312.96316133569275,460.0195394804648,280.2412155809488,32.95870967447843,239.3432260784983,18.34198988160879,167.2057221755982,216.76882232731833,158.75550076051127,233.6786373909937,506.58060155050555,479.9454146738248,433.7465305027078,148.1561173628586,55.76209904975061
13,346.50316856367294,299.99113352675295,465.72849733492495,421.1397995295127,387.28624082938194,313.7662605675916,458.3746169142295,279.0678587357657,30.95219121237112,239.58075543725354,18.67362620206941,169.19884883640015,216.36684088447117,160.73563900181026,234.85511052671814,504.93790635785206,481.70783765427626,434.73466094603236,146.80347863720553,57.26306707503023
14,349.82482346107815,299.9905002072353,465.0196868142155,423.04489441340843,389.14179836482504,314.57000499835624,456.72837283985183,277.893559231848,28.944060740957177,239.8184756238253,20.442390486928755,170.17893647632368,215.9645364952673,162.7173680589097,236.03252882476207,503.29389144649747,483.4716765410851,435.7235852397505,145.44975322022344,58.76524095735597
15,353.14647835848336,299.98986688771765,464.3345873099307,424.88001035411475,390.9985721546759,315.37427625606534,455.08104970887075,276.7184900148277,27.250405551888665,240.92572142453776,22.212314136192944,171.15966653012515,215.5619684093161,164.7003960715277,237.21071888017133,501.64879893967947,485.2366715638691,436.71315773947043,144.09514048259845,60.26839946320897
16,356.54627471272454,299.95062450716557,463.6259375334543,426.70691648967704,392.8569574590391,316.1792455496961,453.4322968479211,275.542400942235,25.555280420745884,242.0339282161293,23.983773921771707,172.1412477703894,215.15905093006978,166.68514517609464,239.23451339544204,501.72513545205527,487.0031984453582,437.7035891001098,142.7393520615934,61.77286257695756
17,359.9460710669657,299.9113821266135,462.9485721850573,428.5985748712568,394.3255408222064,314.78264688757986,451.7824080963145,274.3655016156491,23.858987451266287,243.1428984949423,23.769747804104732,174.15654371355828,214.75585586513364,168.67126165233856,241.25970218230802,501.8015245556552,488.5891045832467,438.96538410699645,141.38262958465018,63.27836217448441
18,363.3458674212069,299.8721397460614,462.1464531997943,430.46670500923693,395.1752760945451,312.9411626158537,450.1313368629035,273.1877588006535,22.16147874189551,244.25266357714736,23.953957095749786,176.1762420308678,212.73242598705954,168.5339813384249,243.28634243000042,501.87796840762826,490.17614734634685,440.2280834473632,140.024934739333,64.78494076953692
19,366.74566377544807,299.8328973655093,461.3533030791515,432.4144030945469,396.0255966908932,311.09840987264914,448.2003491706445,273.8123140996511,20.462800735878915,245.36319309995946,24.13829327646802,178.19733157901751,210.70760230773044,168.39660646157338,245.31437869034997,501.95446491649744,491.76428331372307,441.49165257419713,140.3094238942231,66.79438066908895
20,370.14546012968924,299.79365498495724,460.65879722723383,434.322849497188,398.03812712124005,311.3702842734602,446.2680933406329,274.4372795629166,18.76300715687473,246.47445194094323,23.41702728281997,180.09574401821382,208.68144886573103,168.25914136650437,247.34374682316852,502.031011662927,493.35346225780205,442.7560515249181,140.59409988170614,68.80514022831998
21,373.5452564839304,299.75441260440516,459.92768177640477,436.17903611514356,400.05200402230565,311.6423405701146,444.3345447471147,275.0626631553611,17.062076341758438,247.58645426260574,25.10535789307954,181.22678537539556,206.6539398386233,168.12158430128545,249.3744726918639,502.1076096224718,494.9437044319733,444.02129641373693,140.8789663298529,70.81724507347971
22,376.9450528381716,299.7151702238531,459.20123934612707,438.1107892293761,402.06768319442284,311.91464033705637,442.39926577044594,275.68860641992075,15.35962331921865,248.69945174419712,26.795199434510096,182.35883893103647,204.62461634071826,167.98390413265517,251.40701591019214,502.18427613153165,496.53536975541147,445.28767360326145,141.16408771242627,72.83115060383189
