"frame","targetX","targetY","chaserX","chaserY","d0_x","d0_y","d1_x","d1_y","d2_x","d2_y","d3_x","d3_y","d4_x","d4_y","d5_x","d5_y","d6_x","d6_y","d7_x","d7_y"
0,303.55861135896413,299.6341862623103,380.56766505581663,122.90126396260654,106.00100509560934,587.6364756812388,582.6097039740977,317.55013483179073,541.314078822034,289.90594962758485,29.25262818552103,557.4584663698935,505.42726833266414,325.46486314290655,195.5396014082756,145.08202099362435,490.4444326034203,124.44981115423009,241.33688500257333,564.8051413615441
1,307.11722271792826,299.26837252462064,380.33638990065003,124.87308168494144,107.6316828368489,588,581.7659976878449,315.7335018948531,542.8956740299977,291.13499483553096,28.16466028630273,555.7767049791785,504.10808774850466,323.9576278887389,196.79609982034793,143.52214687514916,492.10529450552974,123.33019815539943,239.40740546258212,564.2674572258433
2,310.6758340768924,298.90255878693097,380.1177315964091,126.91184168270938,109.2648562305996,586.8350837732255,580.9210001607426,313.9140887123548,544.4796897726585,292.36592102196965,28.395007179518092,553.783911598458,502.78688823917423,322.4480859032338,198.05452122636203,141.95988546477537,493.7686982551617,122.20887165737675,237.47497297220872,563.7289501974705
3,314.2344454358565,298.5367450492413,379.931519967728,128.89285334823555,110.90052210432091,585.6683897007099,580.0747130342507,312.09189881861874,546.0661229729676,293.59872579575045,28.625705618392857,551.7880769009942,501.46367237118477,320.9362401187702,199.3148631817563,140.39523979729262,495.4346406210514,121.08583383840828,235.53959128532304,563.1896213225091
4,317.79305679482064,298.1709313115516,379.76630947501513,130.8252821991862,112.54077265648243,584.4984254510472,579.2260538130631,310.2646014302201,547.6570028553326,294.83498605121497,28.857050691874296,549.7866479923564,500.13674760435526,319.4201567165361,200.5787378039886,138.82620851696956,497.10525252866734,119.95964820828908,233.59878483361467,562.6487807393775
5,321.3516681537848,297.80511757386193,379.46793170393875,132.89833345335217,114.1851475113847,583.3255194027945,578.3752606937663,308.43270942204396,547.0125641827578,296.7492420578015,29.088977467412995,547.7801866216216,498.80648637198067,317.90026122173924,201.84579035630088,137.25323201010704,498.78006508066665,118.83063085805568,231.65309835101255,562.1065802479706
6,324.9102795127489,297.43930383617226,379.2684774539863,134.88092547196564,115.83199153403964,582.1508521370296,577.5231900367304,306.598066673269,546.3671578310775,298.6663724814881,29.321252500597108,545.7707123796436,497.4742276399923,316.3780834754642,203.83373128268087,136.87902712847455,500.45739250519205,117.69991819289753,229.70449025579555,561.5635655967236
7,328.46889087171303,297.0734900984826,379.0321475503157,136.93523988375603,117.48089304129027,580.9747173007047,575.5599011633303,306.10040601236267,544.6839794601516,299.79290694854956,29.553817726596183,543.7587276010017,496.1403044505442,314.8540039964072,205.8241558430765,136.50435473396954,502.13681549875156,116.56779287186019,227.75344766703589,561.0198725301168
8,332.02750223067716,296.7076763607929,378.8482290854262,138.88877186026787,119.07585637644458,579.723184368464,573.5946812872318,305.602255874797,542.7882771183832,300.51162480166255,29.78661169329921,541.7447639245577,494.80506927419833,313.32842550127225,207.60643616558528,135.53806307356493,503.8178902972881,115.43455404323896,225.80048612047295,560.4756447114453
9,335.5861135896413,296.3418626231032,378.6244582192386,140.92386361893284,120.67542040297333,578.4680413740738,573.4554344365056,303.57380835861755,540.8871065998737,301.23241580527036,31.45003057779739,540.5755647858193,493.4659825955494,311.79844645618806,209.39385749762442,134.56898413297074,505.1255744579776,113.8776496957553,223.84189123228776,559.9298470609314
10,339.1447249486054,295.97604888541355,378.38314646632546,142.90783008476913,122.27997173975196,577.2089849461372,573.3157534254492,301.539036308427,538.9800083866571,301.9554541764738,33.1186358667876,539.402720179471,492.1227207537891,310.26369706115406,211.18685186367924,133.59688368323205,506.43733587128725,112.31589104742372,221.87718960489164,559.3823476578325
11,342.70333630756954,295.61023514772387,378.13422088436795,144.95040877855118,123.88819308890334,575.9470487395594,573.1757529287977,299.4996102229128,537.0685481602857,302.68014631824065,34.79105767564569,538.2271929825953,490.77638653443256,308.72543730833985,212.98394725869892,132.62255979532947,507.7520976127924,110.75056026435811,219.90799421084807,558.8335959859297
12,346.2619476665337,295.2444214100342,377.8622458122402,146.91221787792165,125.49905940293763,574.6830370867423,573.0355221800124,297.45682999066975,535.1539442465254,303.4060303265792,36.466230036818104,537.0497324522539,488.9751388736766,309.6991531831046,214.78399825072864,131.64663348343876,509.0690216801724,109.18265505647621,217.9355601751414,558.2839418083473
