"frame","targetX","targetY","chaserX","chaserY","d0_x","d0_y","d1_x","d1_y","d2_x","d2_y","d3_x","d3_y","d4_x","d4_y","d5_x","d5_y","d6_x","d6_y","d7_x","d7_y"
0,299.0925262666078,297.43188618165146,266.50222171874765,552.3686397630155,23.925033847234616,424.01410079973346,34.82601234447959,428.5441360105099,295.8606956955869,277.76309217629296,362.6212660695369,377.6568701058452,239.20398727423185,471.67816595200225,424.1152783275447,411.97460965907135,305.83156916005123,248.97805600947987,131.34670682319418,459.9996443749131
1,298.18505253321564,294.8637723633029,268.3948589285327,551.6617263883439,23.138012135863786,425.8547786475923,33.88004619983663,430.3084053116532,297.1986709616257,276.27402525327176,363.81935445676754,376.0530988222295,238.64252611392058,473.5996912521816,423.99091572324295,409.9766026379579,304.3713056140526,250.34740932035137,133.31898732430312,459.6567045278367
2,297.27757879982346,292.2956585449544,270.3103772458563,550.9274221823775,21.147643921619423,426.0878763613659,32.93308892541148,432.07452311430796,297.83441946720916,274.3735716205595,365.0186981331954,374.4476471978405,237.76100267186933,475.399362498147,422.82637428908424,408.3457306562965,302.9095120865652,251.71819736211302,135.29333426928488,459.3134053677999
3,296.3701050664313,289.72754472660586,272.1108780848503,550.171999069905,19.153383555827293,426.3214298961383,31.9842798824568,433.8440945483511,299.5032530509358,273.2570519700383,367.0181941294809,374.631052271414,238.71804252970415,477.16449602586937,421.6595556020469,406.7116695155326,301.44486003174615,253.09166597059604,137.271542036331,458.96943488858324
4,295.4626313330391,287.1594309082573,274.04654152913207,549.3981408145777,17.153418691314545,426.55565150107003,31.03275681075016,435.6187277677833,301.1768602636262,272.1373385615569,369.02340960078993,374.81498196756206,240.24653227409064,478.4753882109127,420.4893992787502,405.07293421093,299.9760184007232,254.46906332883225,139.25540838430754,458.6244804961363
5,294.5551575996469,284.5913170899088,275.9159483492807,548.5985814390624,15.148300860313142,426.79047658464407,30.07878211272314,437.3979333802968,303.13594035193387,272.6248275805839,370.7698366218873,375.8277173703482,241.7789602158779,479.7896579470418,419.31622801432763,403.42997665809776,298.503392257364,255.85000959062896,141.24438622048595,458.2786373188632
6,293.64768386625474,282.02320327156025,277.79947874690987,547.7734541963154,13.139550686538119,427.0257270622684,29.12307925535953,439.18036208750806,305.09856938399514,273.1131997034306,372.5194273580899,376.8422873795924,243.31416420577287,481.1063085298747,418.1409315081369,401.7840428288083,297.02809839899703,257.233457486044,143.23696716125923,457.9321676342865
7,292.74021013286256,279.4550894532117,279.65252349427254,547.0546813403298,12,427.2613652034748,28.16580151833226,440.96572801595005,306.4567823261196,274.6162531848793,374.27190120262367,377.8585292742585,244.85189802125603,482.4251287894132,416.9636982592105,400.13539670490184,297.03476973071236,259.2592579840158,145.23283162805492,457.58512701068184
8,291.8327363994704,276.8869756348632,281.44952807980656,546.2231032578394,12,429.2853846736676,27.207346992626672,442.7532887080745,308.3565506599238,275.32680830853167,375.615415469651,376.3389972014914,246.391522184414,483.74557028455564,415.0897295873975,399.359349204463,297.04144926354564,261.2875488136837,147.23114962595983,457.2376597674443
9,290.9252626660782,274.31886181651464,283.2716071036586,545.384689961341,12.132159294750016,431.31595942370166,25.173217675356995,442.6983540624597,310.2624718560127,276.0396647379505,376.9632810347369,374.8145437541469,247.93613279527588,485.07028835096736,413.20969161178664,398.58078828525004,297.04815042967226,263.32240875703053,149.19773706974044,456.7149421375242
10,290.017788932686,271.7507479981661,285.22251206804015,544.5513561095047,12.26466232345243,433.3518155085506,23.133797778175875,442.6432765369749,312.1733501746932,276.75437524020197,378.3146522719654,373.28612534611085,249.48476079372443,486.3984518850448,411.32476383341736,397.800202401978,297.0548690249046,265.3625611805788,151.16943942334305,456.1908649679874
11,289.11031519929384,269.18263417981757,287.08271393313777,543.8286596083736,12.39744644170807,435.3919904220552,21.090051492131405,442.5880821710134,314.0882821964334,277.4706019165193,380.2671561134098,372.67976402734183,251.03667402388777,487.72943296146866,409.4358374030001,397.01796059778604,297.06160187284456,267.40704154695874,153.14532451102426,455.6656760305244
12,288.20284146590166,266.61452036146903,288.9471136521792,543.0361630922938,12,435.8492292652994,19.233758916433565,443.4533380406837,316.00654292587546,278.18807360269943,382.2230539732847,372.072348676592,250.8078854380661,489.7646591478144,407.39140152425836,397.1394998272684,297.0683464244286,269.45507581366763,153.80414241671997,457.60486369904044
13,287.2953677325095,264.0464065431205,290.8462612586442,542.2728002631234,13.998621126485087,436.3069877551832,17.375356685763855,444.31957726360946,317.92698373637705,278.9063606871254,384.189751090785,372.652117328995,249.0845941048185,490.8756479970145,405.344642167864,397.2611771846748,297.0750986411173,271.50543764755525,154.4637090613206,459.5462552318394
14,286.10516666203324,261.4786909425743,292.7025836436693,541.4624112151918,15.919995365294803,437.0277689278464,15.515369218257886,445.1865553977906,319.84906270328224,279.62526047806153,386.15812582180996,373.2323805302148,247.20259313365662,491.6937413957002,403.29613690400504,397.38295833415907,297.0818566175185,273.557548461859,155.1238383232727,461.48930279223055
15,284.914965591557,258.9109753420281,294.61382768175775,540.6517684624481,17.84781029403504,437.7509662503399,13.649146837057915,446.05643975254344,321.77758472245586,280.3465701121979,388.1330987943714,373.81458884721775,247.6085253152916,493.71233096038355,401.2407647909092,397.5051477094889,297.088637247513,275.6165382116617,155.78618042216434,463.43886369427264
16,283.7247645210808,256.3432597414819,296.5328624776576,539.7892127574241,19.77866237737216,438.4753029260149,12,446.92769455693195,323.7091450102041,281.0690161255782,389.4583567821536,372.2345430715281,248.01509701826913,495.7341006895548,399.18215456466856,397.6275295867116,297.0954285599757,277.6787717739747,156.44956600055204,465.39149601036354
17,282.53456345060454,253.7755441409357,298.4902818968351,539.0551012954644,21.713827572147665,439.2012576152229,13.87333781057978,447.80089555859524,325.64501999136826,281.7930759291554,390.78657511342107,370.6509678108162,248.42257691565356,497.76038662078,397.11894584256663,397.75018483892717,297.1022350427809,279.7456119259084,157.11443344073064,467.3484900902841
18,281.3443623801283,251.20782854038947,300.41129574875174,538.2360781979371,23.652703358752166,439.9286042897484,15.750267661772764,448.67577088372747,327.58460692534476,282.51852408469256,392.7137183923724,371.40885387297664,248.267052388598,499.82535263074453,395.05178101095714,397.87307527704723,297.1090545767093,281.8164151504523,157.78057573418667,469.30923661793463
