"frame","targetX","targetY","chaserX","chaserY","d0_x","d0_y","d1_x","d1_y","d2_x","d2_y","d3_x","d3_y","d4_x","d4_y","d5_x","d5_y","d6_x","d6_y","d7_x","d7_y"
0,299.03980178747975,297.68309961459397,554.9086728877022,191.43641207401333,458.0041982420097,537.1213880698823,512.9995021908358,46.56161088311843,299.2450517920967,67.7808968410879,121.37553597732413,218.02432874948727,139.06772533799273,379.7806458318313,334.8439949450647,307.50710004572375,539.890684041815,142.76496676034884,144.39578701293297,547.9997710642408
1,298.0796035749595,295.36619922918794,553.1940761674443,190.45769933047498,456.12524436940396,537.8202802569327,514.7917771011537,45.663463573182526,299.3911472034115,69.78029026792838,121.74159713893421,219.9953480721883,137.17213562375196,380.4330702180744,334.5143208234648,309.48453093403504,539.0219612736875,144.5716871860476,146.37772645021454,548.3011578779009
2,297.11940536243924,293.0492988437819,551.486191542086,189.3466256327026,454.24047918362663,538.5213340092197,515.7730726199961,43.908221346646926,299.537694465195,71.7858675088188,122.10879047099354,221.97246345223192,136.37314954996012,382.27845294883804,334.183627070892,311.4680777096678,538.1505516806525,146.3839955180597,148.36579571906094,548.6034768342737
3,296.159207149919,290.7323984583759,549.78007352754,188.3025888605053,452.3509831779617,539.2241474284714,516.7568312214502,42.148573406924626,298.3267562517448,73.39762757188957,120.45707481029307,223.12830826616698,135.57215799599692,384.1284676482887,333.8521032666007,313.45660325008515,537.2769548221353,148.20085280097783,150.3588551042921,548.9065546207343
4,295.19900893739873,288.41549807296985,548.0769117305167,187.22581350292901,450.45742970672893,539.9284700550676,517.74270232626,40.38514683474922,297.11321769402764,75.01284869597345,118.80181228873597,224.28663511791547,133.749887895629,385.0007902904677,333.5198675547865,315.4493989100936,536.4014820193647,150.02161156653742,152.35619434500117,549.2102832303134
5,294.2388107248785,286.0985976875638,546.3484522179177,186.18138946340872,448.5606272762841,540.6340011584883,518.7302649887979,38.618694575106545,295.8975969467466,76.63084121660374,117.14370966759915,225.44694942697782,131.92449114406298,385.87460966391274,333.96841822016796,317.4228314269589,535.5245070802823,151.8454943901467,154.3569606205547,549.5145329774675
6,293.2786125123582,283.7816973021578,544.6583482026962,185.08440289698032,446.6603340913823,541.340830676443,519.7196450987992,36.84899144916421,294.0085334365664,77.3671571885491,116.23858970759389,227.26119307490282,130.09573504850633,386.75003715891194,334.41779436964265,319.3998957234145,534.6459182123436,153.67273377161,156.3614089790081,549.81934264649
7,292.31841429983797,281.46479691675177,542.8770177542135,184.06797762963114,444.7558093837387,542.0492341437249,520.7112283343334,35.075347594978865,292.1152634095878,78.10511276947966,115.3314542503352,229.07947663273038,128.2629067271115,387.62741403276664,334.8681711780742,321.3813624944982,533.4656163468172,155.32680068099333,158.37032079019662,550.1248310576437
8,291.3582160873177,279.14789653134574,541.1733664921395,182.99049470770964,442.8475792141424,542.7590158877415,521.7047408039372,33.29825292191308,290.21830981787355,78.84450412402711,114.42255386143275,230.90129786088366,126.4265124369563,388.50649793967335,335.31942424404195,323.366684426768,532.6955888837613,157.21152618101624,160.38314115991045,550.4309138300468
9,290.39801787479746,276.8309961459397,539.4736308668117,181.93853162505556,440.93636334634215,543.4699081865077,522.6998077654692,31.518377730826927,288.31838817176947,79.58505236178208,113.51223136826744,232.7259695881305,126.16231447096801,390.52845575044597,335.77138335977776,325.35511267829736,531.9243566029376,159.09920060283588,162.39911087411033,550.7374755125932
