"rt","trialNumber","reportChasing","chasingIsPresent","isVolatile","miniBlock","video_name","trial_type","trial_index","time_elapsed","internal_node_id","subject","prolificID","proj_name","exp_version","key_pressed","value","test_part","user_agent","trial_part","interaction_data","browser"
"NA","1","0","0","practice","practice","trial_7.mp4","html-button-response","1","6695","0.0-1.0","fdyp7bhw","no_query","ChasingPerceptionAndParanoia","Pilot3_2afc","","","","","","",""
"NA","2","0","0","1","miniBlockChasingIsDominant_Yes","trial_8.mp4","html-button-response","3","12866","0.0-3.0","fdyp7bhw","no_query","ChasingPerceptionAndParanoia","Pilot3_2afc","","","","","","",""
"1629.1000000238419","3","1","0","1","miniBlockChasingIsDominant_Yes","trial_9.mp4","html-button-response","5","15409","0.0-5.0","fdyp7bhw","no_query","ChasingPerceptionAndParanoia","Pilot3_2afc","KeyJ","","","","","",""
"862.1999999284744","4","1","1","1","miniBlockChasingIsDominant_Not","trial_9.mp4","html-button-response","7","17193","0.0-7.0","fdyp7bhw","no_query","ChasingPerceptionAndParanoia","Pilot3_2afc","KeyJ","","","","","",""
"518.6999999284744","5","1","0","1","miniBlockChasingIsDominant_Not","trial_4.mp4","html-button-response","9","18637","0.0-9.0","fdyp7bhw","no_query","ChasingPerceptionAndParanoia","Pilot3_2afc","KeyJ","","","","","",""
"855.5","6","0","0","0","miniBlockStable","trial_5.mp4","html-button-response","11","20420","0.0-11.0","fdyp7bhw","no_query","ChasingPerceptionAndParanoia","Pilot3_2afc","KeyF","","","","","",""
"499.39999997615814","7","1","1","0","miniBlockStable","trial_1.mp4","html-button-response","13","21828","0.0-13.0","fdyp7bhw","no_query","ChasingPerceptionAndParanoia","Pilot3_2afc","KeyJ","","","","","",""
"551.2000000476837","8","0","0","0","miniBlockStable","trial_10.mp4","html-button-response","15","23313","0.0-15.0","fdyp7bhw","no_query","ChasingPerceptionAndParanoia","Pilot3_2afc","KeyF","","","","","",""
"573.5","9","1","1","0","miniBlockStable","trial_6.mp4","html-button-response","17","24813","0.0-17.0","fdyp7bhw","no_query","ChasingPerceptionAndParanoia","Pilot3_2afc","KeyJ","","","","","",""
"941.5999999046326","10","0","0","","","trial_2.mp4","html-button-response","19","26665","0.0-19.0","fdyp7bhw","no_query","ChasingPerceptionAndParanoia","Pilot3_2afc","KeyF","","","","","",""
"742.5","11","1","0","","","trial_3.mp4","html-button-response","21","28348","0.0-21.0","fdyp7bhw","no_query","ChasingPerceptionAndParanoia","Pilot3_2afc","KeyJ","","","","","",""
"614.3999999761581","12","0","1","","","trial_10.mp4","html-button-response","23","29887","0.0-23.0","fdyp7bhw","no_query","ChasingPerceptionAndParanoia","Pilot3_2afc","KeyF","","","","","",""
"591.2999999523163","13","1","1","","","trial_3.mp4","html-button-response","25","31382","0.0-25.0","fdyp7bhw","no_query","ChasingPerceptionAndParanoia","Pilot3_2afc","KeyJ","","","","","",""
"749","14","1","1","","","trial_2.mp4","html-button-response","27","33037","0.0-27.0","fdyp7bhw","no_query","ChasingPerceptionAndParanoia","Pilot3_2afc","KeyJ","","","","","",""
"818.7000000476837","15","1","1","","","trial_7.mp4","html-button-response","29","34762","0.0-29.0","fdyp7bhw","no_query","ChasingPerceptionAndParanoia","Pilot3_2afc","KeyJ","","","","","",""
"1031.3999999761581","16","1","1","","","trial_5.mp4","html-button-response","31","36700","0.0-31.0","fdyp7bhw","no_query","ChasingPerceptionAndParanoia","Pilot3_2afc","KeyJ","","","","","",""
"675.6000000238419","17","1","0","","","trial_6.mp4","html-button-response","33","38303","0.0-33.0","fdyp7bhw","no_query","ChasingPerceptionAndParanoia","Pilot3_2afc","KeyJ","","","","","",""
"1279.6000000238419","18","1","0","","","trial_1.mp4","html-button-response","35","40503","0.0-35.0","fdyp7bhw","no_query","ChasingPerceptionAndParanoia","Pilot3_2afc","KeyJ","","","","","",""
"937.8999999761581","19","1","1","","","trial_8.mp4","html-button-response","37","42347","0.0-37.0","fdyp7bhw","no_query","ChasingPerceptionAndParanoia","Pilot3_2afc","KeyJ","","","","","",""
"1854.8999999761581","20","1","1","","","trial_4.mp4","html-button-response","39","45130","0.0-39.0","fdyp7bhw","no_query","ChasingPerceptionAndParanoia","Pilot3_2afc","KeyJ","","","","","",""
"1026.2000000476837","21","1","0","","","trial_7.mp4","html-button-response","41","47070","0.0-41.0","fdyp7bhw","no_query","ChasingPerceptionAndParanoia","Pilot3_2afc","KeyJ","","","","","",""
"1180.5999999046326","22","1","0","","","trial_8.mp4","html-button-response","43","49157","0.0-43.0","fdyp7bhw","no_query","ChasingPerceptionAndParanoia","Pilot3_2afc","KeyJ","","","","","",""
"534.3000000715256","23","1","0","","","trial_9.mp4","html-button-response","45","50598","0.0-45.0","fdyp7bhw","no_query","ChasingPerceptionAndParanoia","Pilot3_2afc","KeyJ","","","","","",""
"949.8000000715256","24","1","1","","","trial_9.mp4","html-button-response","47","52454","0.0-47.0","fdyp7bhw","no_query","ChasingPerceptionAndParanoia","Pilot3_2afc","KeyJ","","","","","",""
"3548.7000000476837","25","1","0","","","trial_4.mp4","html-button-response","49","56908","0.0-49.0","fdyp7bhw","no_query","ChasingPerceptionAndParanoia","Pilot3_2afc","KeyJ","","","","","",""
"1498.1999999284744","26","1","0","","","trial_5.mp4","html-button-response","51","59311","0.0-51.0","fdyp7bhw","no_query","ChasingPerceptionAndParanoia","Pilot3_2afc","KeyJ","","","","","",""
"1308.2000000476837","27","1","1","","","trial_1.mp4","html-button-response","53","61524","0.0-53.0","fdyp7bhw","no_query","ChasingPerceptionAndParanoia","Pilot3_2afc","KeyJ","","","","","",""
"1433.2999999523163","28","1","0","","","trial_10.mp4","html-button-response","55","63862","0.0-55.0","fdyp7bhw","no_query","ChasingPerceptionAndParanoia","Pilot3_2afc","KeyJ","","","","","",""
"1641.2000000476837","29","1","1","","","trial_6.mp4","html-button-response","57","66431","0.0-57.0","fdyp7bhw","no_query","ChasingPerceptionAndParanoia","Pilot3_2afc","KeyJ","","","","","",""
"923.0999999046326","30","1","0","","","trial_2.mp4","html-button-response","59","68258","0.0-59.0","fdyp7bhw","no_query","ChasingPerceptionAndParanoia","Pilot3_2afc","KeyJ","","","","","",""
"178.39999997615814","31","1","0","","","trial_3.mp4","html-button-response","61","69365","0.0-61.0","fdyp7bhw","no_query","ChasingPerceptionAndParanoia","Pilot3_2afc","KeyJ","","","","","",""
"229.70000004768372","32","1","1","","","trial_10.mp4","html-button-response","63","70522","0.0-63.0","fdyp7bhw","no_query","ChasingPerceptionAndParanoia","Pilot3_2afc","KeyJ","","","","","",""
"528.7000000476837","33","1","1","","","trial_3.mp4","html-button-response","65","71957","0.0-65.0","fdyp7bhw","no_query","ChasingPerceptionAndParanoia","Pilot3_2afc","KeyJ","","","","","",""
"750.7000000476837","34","1","1","","","trial_2.mp4","html-button-response","67","73613","0.0-67.0","fdyp7bhw","no_query","ChasingPerceptionAndParanoia","Pilot3_2afc","KeyJ","","","","","",""
"682.1000000238419","35","1","1","","","trial_7.mp4","html-button-response","69","75201","0.0-69.0","fdyp7bhw","no_query","ChasingPerceptionAndParanoia","Pilot3_2afc","KeyJ","","","","","",""
"767","36","1","1","","","trial_5.mp4","html-button-response","71","76873","0.0-71.0","fdyp7bhw","no_query","ChasingPerceptionAndParanoia","Pilot3_2afc","KeyJ","","","","","",""
"1674.6999999284744","37","1","0","","","trial_6.mp4","html-button-response","73","79459","0.0-73.0","fdyp7bhw","no_query","ChasingPerceptionAndParanoia","Pilot3_2afc","KeyJ","","","","","",""
"662.2000000476837","38","1","0","","","trial_1.mp4","html-button-response","75","81027","0.0-75.0","fdyp7bhw","no_query","ChasingPerceptionAndParanoia","Pilot3_2afc","KeyJ","","","","","",""
"1115.8000000715256","39","1","1","","","trial_8.mp4","html-button-response","77","83048","0.0-77.0","fdyp7bhw","no_query","ChasingPerceptionAndParanoia","Pilot3_2afc","KeyJ","","","","","",""
"582.2000000476837","40","1","1","","","trial_4.mp4","html-button-response","79","84535","0.0-79.0","fdyp7bhw","no_query","ChasingPerceptionAndParanoia","Pilot3_2afc","KeyJ","","","","","",""
"","","","","","","","call-function","80","84536","0.0-80.0","fdyp7bhw","no_query","ChasingPerceptionAndParanoia","Pilot3_2afc","","","summary","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36","interaction_data","[{""event"":""blur"",""trial"":1,""time"":5189},{""event"":""fullscreenenter"",""trial"":2,""time"":6773},{""event"":""focus"",""trial"":3,""time"":8982},{""event"":""fullscreenexit"",""trial"":3,""time"":12296},{""event"":""fullscreenenter"",""trial"":4,""time"":12908}]","Chrome 140"
