"id","sumLL","BIC","mean_lik","fit_duration","valid_trials","problem_fit","fit_method","bins","alpha_ml","alpha_wm","alpha_var","nu_ml","nu_wm","nu_var","xi_ml","xi_wm","xi_var","sensitivity","response_criterion","sdtTable.11","sdtTable.10","sdtTable.01","sdtTable.00","hit_rate","fa_rate","var.signal","var.noise","condition","R.GPTS.reference","R.GPTS.persecution","spiritual.events","difficulty_halfway","difficulty_end","volatilityJudgment","noticeDifference","religiosity_general","religiosity_lens","religiosity_practice"
"56b12c0e9f1826000cbcc76c",-78.7069561337438,169.027515300211,0.686660422718603,7.65600514411926,48,TRUE,"grid","30,30,30",0.005,0.170384822137625,0.999688060833033,0.001,0.00393756593175448,0.735645616838571,0.005,0.208544947652045,0.999919396812578,1.71819476773701,1.17773674783288,9,0,15,24,0.375,0.0208333333333333,1,1,"stable",8,11,0.227272727272727,93,94,"secondBlockIsVolatile","""I didn't notice any difference""",3,1,0
"56b12c0e9f1826000cbcc76c",-79.1295260973298,169.872655227383,0.686596510034946,7.41891479492188,48,TRUE,"grid","30,30,30",0.005,0.159585712394654,0.999636908945306,0.001,0.00393432055440342,0.735446545223782,0.005,0.204285699343689,0.999925585690668,1.52123600187432,0.971046395185085,10,1,14,23,0.416666666666667,0.0416666666666667,1,1,"volatile",8,11,0.227272727272727,93,94,"secondBlockIsVolatile","""I didn't notice any difference""",3,1,0
"57bdd76370808a00012d9829",-38.8712888190014,89.3561806707265,0.851132583179692,7.39142799377441,48,TRUE,"grid","30,30,30",0.005,0.262795335458849,0.999753146893472,0.001,0.00396252795865106,0.737100277701543,0.005,0.312950466634903,0.999935037462587,2.11777094647771,-0.0914639071371532,21,4,3,20,0.875,0.166666666666667,1,1,"stable",4,2,0.0909090909090909,89,82,"didNotNotice","""no, both seemed exactly the same """,0,0,0
"57bdd76370808a00012d9829",-73.5733041685488,158.760211369821,0.727182504153882,7.51636290550232,48,TRUE,"grid","30,30,30",0.11838585053398,0.254312490823285,0.999732877038435,0.001,0.00412336609745515,0.744201192210757,0.0429848376676476,0.302373300213342,0.999930132444882,1.24294510079537,-0.190745251102228,19,8,5,16,0.791666666666667,0.333333333333333,1,1,"volatile",4,2,0.0909090909090909,89,82,"didNotNotice","""no, both seemed exactly the same """,0,0,0
"582f8bbd4cadc80001b0fbd3",-93.2958651703771,198.205333373478,0.644692188969118,7.0550708770752,48,TRUE,"grid","30,30,30",0.005,0.230479291103358,0.999732544180591,0.001,0.00400228732620896,0.738240365458399,0.005,0.275372078214913,0.999928518955425,0.812217801499913,0.406108900749956,12,5,12,19,0.5,0.208333333333333,1,1,"stable",1,1,0.0454545454545455,84,61,"firstBlockIsVolatile","""the circles moved a little slower in the second part compared to the first""",1,0,0
"582f8bbd4cadc80001b0fbd3",-65.4385618579415,142.490726748607,0.748171147817447,7.30756998062134,48,TRUE,"grid","30,30,30",0.005,0.232372511286542,0.999749242360226,0.001,0.00399614406281488,0.738022154271584,0.0148011545095324,0.265476509299825,0.999920327275538,1.46898874434038,0.415855008205816,15,3,9,21,0.625,0.125,1,1,"volatile",1,1,0.0454545454545455,84,61,"firstBlockIsVolatile","""the circles moved a little slower in the second part compared to the first""",1,0,0
"58bef6fd31de840001e84ba0",-71.5652888875101,154.744180807744,0.727181188661763,7.29373693466187,48,TRUE,"grid","30,30,30",0.005,0.235941831962251,0.999728585408228,0.001,0.00398245998239804,0.737633423045797,0.005,0.28659885109099,0.999932832555305,1.24294510079537,0.190745251102228,16,5,8,19,0.666666666666667,0.208333333333333,1,1,"stable",5,5,0,87,73,"didNotNotice","""No, I didn't notice anything.""",0,0,0
"58bef6fd31de840001e84ba0",-76.1001715641283,163.81394616098,0.70681465411759,7.30782914161682,48,TRUE,"grid","30,30,30",0.005,0.210989501046833,0.999732715340317,0.001,0.00398162624854301,0.73736738829194,0.005,0.247841166755603,0.999921581128829,1.25498283599008,0.522857962380966,13,3,11,21,0.541666666666667,0.125,1,1,"volatile",5,5,0,87,73,"didNotNotice","""No, I didn't notice anything.""",0,0,0
"596155a998cf77000106f8d8",-99.9699232150795,211.553449462883,0.604246316782259,8.67335200309753,48,TRUE,"grid","30,30,30",0.005,0.144340069293764,0.999550269140571,0.001,0.00394901190407776,0.736441981315111,0.005,0.204311185276301,0.999935750203369,0.834471844402541,0.965758204899368,7,2,17,22,0.291666666666667,0.0833333333333333,1,1,"stable",8,10,0,88,77,"didNotNotice","""Not really. They looked largely the same to me.""",0,0,0
"596155a998cf77000106f8d8",-120.039432274891,251.692467582505,0.541554183681767,9.40706300735474,48,TRUE,"grid","30,30,30",0.005,0.198201239482917,0.999692106478006,0.001,0.00400711442152549,0.738259601924591,0.005,0.245319668459442,0.999929688213309,0.229882918733723,0.433580823331237,9,7,15,17,0.375,0.291666666666667,1,1,"volatile",8,10,0,88,77,"didNotNotice","""Not really. They looked largely the same to me.""",0,0,0
"597519f8262c480001bbaf8b",-101.08895317186,213.791509376443,0.603894836894819,9.55152797698975,48,TRUE,"grid","30,30,30",0.005,0.19031199898118,0.999720930336831,0.001,0.00391126967773763,0.734307525421733,0.005,0.226026643622825,0.999918662972557,0.834471844402541,0.965758204899368,7,2,17,22,0.291666666666667,0.0833333333333333,1,1,"stable",3,1,0,92,75,"firstBlockIsVolatile","""I felt the blue circle was easier to follow.""",2,0,1
