"id","sumLL","BIC","mean_lik","fit_duration","valid_trials","problem_fit","fit_method","bins","alpha_ml","alpha_wm","alpha_var","nu_ml","nu_wm","nu_var","xi_ml","xi_wm","xi_var","sensitivity","response_criterion","sdtTable.11","sdtTable.10","sdtTable.01","sdtTable.00","hit_rate","fa_rate","var.signal","var.noise","condition","reportChasing","R.GPTS.reference","R.GPTS.persecution","spiritual.events","difficulty_halfway","difficulty_end","volatilityJudgment","noticeDifference","religiosity_general","religiosity_lens","religiosity_practice"
"559b8c79fdf99b5ae13fd3d1",-124.789730297653,261.19306362803,0.520861124658238,23.1033980846405,48,TRUE,"grid","30,30,30",0.005,0.214907597211315,0.999734349178387,0.001,0.00391443486305472,0.734101444715167,0.005,0.252209179589496,0.999923609792956,0.117794983402641,0.489624790996778,8,7,16,17,0.333333333333333,0.291666666666667,1,1,"stable",0,2,0,0,99,100,"didNotNotice","""I did not notice any difference at all.""",0,0,0
"559b8c79fdf99b5ae13fd3d1",-108.687921214495,228.989445461714,0.582906179118561,27.8302040100098,48,TRUE,"grid","30,30,30",0.005,0.192502720450194,0.999689565867477,0.001,0.00399997364703785,0.738027753589236,0.005,0.2402448253534,0.999929210741853,0.464061355948157,0.442459072222003,10,6,14,18,0.416666666666667,0.25,1,1,"volatile",0,2,0,0,99,100,"didNotNotice","""I did not notice any difference at all.""",0,0,0
"55c495d2fdf99b2d6cabb691",-88.7759143273605,189.165431687445,0.665381252601455,27.1788198947906,48,TRUE,"grid","30,30,30",0.0302357706030074,0.243284516136281,0.99972417713429,0.001,0.00408266378533571,0.742765718224913,0.0211843046881439,0.29839817118762,0.999933455982589,0.967421566101701,0.483710783050851,12,4,12,20,0.5,0.166666666666667,1,1,"stable",1,1,0,0.0909090909090909,80,82,"didNotNotice","""no none""",1,1,2
"55c495d2fdf99b2d6cabb691",-76.5496448712318,164.712892775187,0.706687641471702,28.5165798664093,48,TRUE,"grid","30,30,30",0.005,0.214046487778838,0.999701386183678,0.001,0.0040086092416801,0.738430095307896,0.005,0.264136695317144,0.999932475967139,1.17784996034963,0.378496585926888,14,4,10,20,0.583333333333333,0.166666666666667,1,1,"volatile",1,1,0,0.0909090909090909,80,82,"didNotNotice","""no none""",1,1,2
"56b8de29e1d0a200051517f8",-104.213807203152,220.041217439028,0.603307324077984,28.1430239677429,48,TRUE,"grid","30,30,30",0.005,0.223153960240025,0.999715758772904,0.001,0.00399545019292119,0.737066228209254,0.005,0.265579706991614,0.9999290904792,0.569856294582006,0.389561602905079,11,6,13,18,0.458333333333333,0.25,1,1,"stable",0,0,0,0.0909090909090909,97,98,"secondBlockIsVolatile","""I didn't notice any difference between the first and second parts.""",1,0,0
"56b8de29e1d0a200051517f8",-87.4532495525059,186.520102137735,0.665337908895454,27.6482148170471,48,TRUE,"grid","30,30,30",0.005,0.232375794834813,0.999737271715235,0.001,0.00395569520009797,0.736212191032669,0.005,0.275707970504694,0.999928026874363,0.967421566101701,0.483710783050851,12,4,12,20,0.5,0.166666666666667,1,1,"volatile",0,0,0,0.0909090909090909,97,98,"secondBlockIsVolatile","""I didn't notice any difference between the first and second parts.""",1,0,0
"56c6d88e0fa600000d5cfdef",-28.8726577360863,69.3589185048962,0.892635581810928,28.9414110183716,48,TRUE,"grid","30,30,30",0.085265746303199,0.227050307541623,0.999702526526589,0.001,0.0041206510888469,0.744280895405217,0.0211843046881439,0.282933649431186,0.999932539889787,2.69908596222395,-0.382121415010272,23,4,1,20,0.958333333333333,0.166666666666667,1,1,"stable",0,5,2,0,88,88,"secondBlockIsVolatile","""i felt that there were less chasing circles in the second part""",0,0,0
"56c6d88e0fa600000d5cfdef",-87.5932576362569,186.800118305237,0.66534253914781,30.305869102478,48,TRUE,"grid","30,30,30",0.005,0.225127662639547,0.999727990844551,0.001,0.00398373138321963,0.737669777849655,0.005,0.272391251120418,0.999929476085929,0.916851257113988,0.353792172942919,13,5,11,19,0.541666666666667,0.208333333333333,1,1,"volatile",0,5,2,0,88,88,"secondBlockIsVolatile","""i felt that there were less chasing circles in the second part""",0,0,0
"579e5da516020100010416b8",-111.932508017583,235.47861906789,0.582563048510951,28.1228060722351,48,TRUE,"grid","30,30,30",0.005,0.281107573480232,0.999768008497433,0.001,0.004033566370558,0.739928393102454,0.0429848376676476,0.315888228368997,0.999927767644687,0.443888827084023,0.326577869156087,11,7,13,17,0.458333333333333,0.291666666666667,1,1,"stable",0,0,0,0,88,93,"didNotNotice","""No I did not notice any difference between the two experiments, except for the colour of the circle.  i was concentrating only on looking for a chaser circle and this was my only focus""",0,1,0
"579e5da516020100010416b8",-109.519614833977,230.652832700678,0.58285350895871,27.2035911083221,48,TRUE,"grid","30,30,30",0.005,0.234414990312935,0.999748624438817,0.001,0.00399427060840571,0.737908969944686,0.0103210631167208,0.269673949642812,0.999921741624079,0.493578437535538,0.565428582732144,9,5,15,19,0.375,0.208333333333333,1,1,"volatile",0,0,0,0,88,93,"didNotNotice","""No I did not notice any difference between the two experiments, except for the colour of the circle.  i was concentrating only on looking for a chaser circle and this was my only focus""",0,1,0
