"frame","targetX","targetY","chaserX","chaserY","d0_x","d0_y","d1_x","d1_y","d2_x","d2_y","d3_x","d3_y","d4_x","d4_y","d5_x","d5_y","d6_x","d6_y","d7_x","d7_y","d8_x","d8_y","d9_x","d9_y","d10_x","d10_y","d11_x","d11_y","d12_x","d12_y","d13_x","d13_y","d14_x","d14_y","d15_x","d15_y","d16_x","d16_y","d17_x","d17_y","d18_x","d18_y"
0,298.9376837525857,303.0901050156004,,,51.2091817195812,466.23543274226597,81.35891457663034,220.04415702260908,361.8633264552846,36.1799595456058,129.60998687882662,329.34976855215086,318.88304051188993,182.77153332831494,566.6203266487715,544.3017748695896,256.56247898877064,302.4095804366582,308.1321907538044,579.1734469858851,235.44715137781688,292.53379358864623,208.37574162361346,521.5238446701704,439.360491550334,77.15855688200676,500.746613699615,405.51685836220975,266.0501602016468,378.4912672385939,466.0999326769586,338.07758630306336,213.72189331147004,219.32310733357667,412.6180912742849,496.2177219591909,110.56810678147802,560.8474971514449,459.11537471067817,122.33047081723302,441.38000678337045,464.53046290132136
1,297.8753675051714,306.1802100312008,,,53.01062225079991,465.3632780838517,81.04014936339352,218.06824445507445,359.997293352782,36.90367371299204,127.61182654182576,329.46464676308693,320.61695782604903,183.77121952076266,565.8684012922006,546.1566198749356,255.07189895647926,303.7452498954112,306.6825399048918,580.5534303741758,233.61054649533196,291.73835393578514,210.34381818078057,521.8878726922244,438.32371811464355,78.87055646692431,502.26877326776486,406.8164244377908,268.0162833780756,378.8657020003624,467.7376661021708,339.22809530505066,215.58318333865773,218.58728047187424,413.7061683551546,494.53786184543225,112.56323853594768,560.6884656513638,460.27675709508213,120.70043011439542,442.45973711387336,462.8452257817731
2,296.81305125775714,309.27031504680116,,,54.8134069040047,464.49047267830963,80.07792993017428,216.31155565391774,358.1298679333661,37.62792787051793,125.61217530285279,329.57961068894195,320.44659492908863,185.76691445364028,565.1159148960693,548.0128488493382,253.58020674681723,305.0819159469767,305.23180741739924,581.9344434195551,231.77257125342663,290.94232077572383,212.31336319328935,522.2521723291662,437.2861711036142,80.58383343860116,503.7920685759552,408.1169601681032,269.9838735523559,379.2404161418755,469.37662150138993,340.379462744726,217.44586214377324,217.85090458229902,414.7950572909269,492.85674832537273,114.55985893265104,560.5293154919475,461.4390060302104,119.06917317737805,443.54027307145697,461.15873124393937
3,295.75073501034285,312.36042006240154,,,56.798266123278026,464.2111059987385,79.11500439992074,214.5535777572493,356.2610721575586,38.3527135011102,123.61105667737657,329.6946589777648,320.27610701622007,187.7640738697998,564.3628763094559,549.8704399639435,252.08741990176438,306.41956287244926,303.2604964122557,581.5716145577085,229.93324726629479,290.1457034696412,214.28435349971366,522.6167392969105,436.2478627185758,82.29836764926827,505.76379351006364,407.75638750385355,271.9529075860499,379.61540525657557,468.78439819758785,342.29439966807956,219.30990782211404,217.1139883244733,415.8847452765018,491.1744011685461,115.55408606839879,562.2697821720457,462.6021078482653,117.43671918941196,444.62160194925065,459.47099912063356
4,294.68841876292856,315.45052507800193,,,58.78451869570253,463.9315432062947,78.15140290468746,212.79436577605824,354.3909645040835,39.07800792463475,121.60853328479362,329.80978802944185,321.12842883986696,189.57981122561898,563.6093090965918,551.7293350906459,250.5935851338995,307.75814881391887,301.2878015646843,581.208530993295,228.0926320904234,289.3485269454423,216.25672742343826,522.9815621873562,435.208825450478,84.01410544738482,507.7369025771743,407.39556172086725,273.9233238637585,379.99065761022956,468.1917591584034,344.21068085976736,221.17526204359717,216.3765547581251,416.9751982131492,489.49087301928967,116.54901114256914,564.0114706439513,463.7660261532365,115.80311923356754,445.703689910099,457.7820822247003
5,293.6261025155143,318.5406300936023,,,60.7721473288221,463.6517867348718,77.18713383365758,211.0339350261692,352.519561254231,39.80380482662674,119.604622559215,329.9249968416514,322.9707732705615,188.7831317008485,562.8552198180864,553.5895180457724,249.09871544865425,309.09766211756113,299.3137400491066,580.845195887346,226.25074175033902,288.55079814340263,218.2177843508158,522.5535586896084,434.16906834525315,85.73103189561557,509.7113785992594,407.03448596051925,275.8951052308975,380.3661699358638,467.5987095433941,346.1282896365091,223.04190856831616,215.63861030340354,418.06640660730835,487.80617853451906,117.54462549327366,565.7543657444008,464.93075081196855,114.16838753208216,446.78652753326736,456.0919952599701
6,292.5637862681,321.6307351092027,,,62.761147281369254,463.3718372517978,76.22219948698793,209.27228970689427,350.6468668720258,40.530102475778236,117.5993292807473,330.04028513957564,324.8143887851336,187.98590252505582,562.1006102727362,555.4509843920629,247.60281441187433,310.43809958811573,297.3383165744273,580.481610106557,225.48615043787305,286.69340947938866,220.18019426507342,522.1252599005261,435.2583444498479,87.41862488335427,511.5590278406277,406.2466504414057,277.8682469840013,380.7419413377354,467.005250767214,348.047221424062,224.9098429435929,214.90015672059315,419.15836785602266,486.12032173288605,118.54092674558481,567.4984633159114,466.09627904614,112.53252798442684,447.8701122357668,454.40074225795786
7,291.5014700206857,324.7208401248031,,,64.7531185730766,463.0914695561135,75.255823638418,207.50801269036023,348.77137489792227,41.25748513081126,115.59104032274811,330.1557456650728,326.66075845109106,187.18748237976783,561.3448734267594,557.3152315568461,246.10467866949543,311.78053951942604,295.82029654152086,581.8015233050153,224.72041691315846,284.83324608847437,222.1455357960056,521.6963212818839,436.3492478087529,89.10873894261161,513.4094372593094,405.4576379858489,279.8443363859233,381.1182740992391,466.4109054312835,349.96901987692513,226.78056779986028,214.16059997232225,420.25196037034635,484.4319464533985,120.53797784568178,567.2569212380636,467.2635484466097,110.89422464911415,448.9553156902706,452.706962716783
8,290.4391537732714,327.8109451404035,,,66.74651929107856,462.81090067030266,74.28875432450839,205.74246963953698,346.894537082363,41.985389751144524,114.73737473262241,328.3326657484342,328.5084530605159,186.38848929311538,559.334036616433,557.4095747836952,246.97200460342646,313.5971602961834,294.3011871868155,583.1223836650316,223.95413390279646,282.9717478558009,224.11228764388053,521.2670748595385,437.44093399316984,90.8000658172781,515.4142392964965,405.63966576918494,281.8218438173939,381.49487691480783,465.81613359681114,351.8921974004872,228.6526350767291,213.420512522697,421.34633763990325,482.7423596062394,122.53646201731247,567.0152058311127,468.8611802303966,109.66950508707154,450.0412978800701,451.01196772987174
9,289.3768375258571,330.90105015600386,,,68.7418223109554,462.5300640376646,73.32076213656127,203.97524173136145,345.0159082008815,42.71398901069985,113.88289448960833,326.5078460670246,330.3579109245076,185.58873372753283,558.9510665441777,555.4313338279171,246.84180351363727,315.607919116027,292.78062814638093,584.4445045218044,223.18711962872305,281.10847319576584,226.08091636261938,520.8374188074249,438.53366197347685,92.493006724816,517.420954515835,405.8218672615953,283.80123838377955,381.8718391223622,465.323278499514,353.84596228102663,230.52648886699615,212.67971880777836,422.44175927345225,481.0511603867168,122.86514950878248,569.003186688242,470.8468899590922,109.32736443072588,451.1283164224389,449.3153552096104
