"frame","targetX","targetY","chaserX","chaserY","d0_x","d0_y","d1_x","d1_y","d2_x","d2_y","d3_x","d3_y","d4_x","d4_y","d5_x","d5_y","d6_x","d6_y","d7_x","d7_y","d8_x","d8_y","d9_x","d9_y","d10_x","d10_y","d11_x","d11_y","d12_x","d12_y","d13_x","d13_y","d14_x","d14_y","d15_x","d15_y","d16_x","d16_y","d17_x","d17_y","d18_x","d18_y"
0,300.4578333559636,296.6759249722812,,,444.4608871385189,456.01113922019323,361.31157073306446,316.33574033064326,165.76817244128205,474.2823393951211,518.8912433871335,322.0150783274674,537.8663506793034,532.7514827275701,210.3021688166664,92.23614416868354,181.5305819897132,418.08626674010884,312.3592382892419,266.16614481668006,542.6344486839332,31.045761754279017,197.05079201164637,469.3922679153646,57.811795003665594,82.14734074403633,434.58461409654274,266.7939514755731,240.90796114937385,284.98434400695146,380.95573611101673,163.32320108757727,85.14174432062468,314.97551464485633,39.74255209124615,149.2082996704087,184.02485178306748,472.589859802426,36.469067162810774,310.94204622771196,188.7007684207584,298.1878307322292
1,300.9156667119272,293.35184994456245,,,443.6398342337536,457.8379203755653,362.80295788192177,317.6725356157447,167.7681214085719,474.38939727798095,516.8977637448692,321.82195614354265,538.0663026827435,534.7442889043887,212.07545611957926,93.16711645794581,182.844394508203,419.5979392999926,310.9013613671585,267.5394081352402,540.7020626237635,31.572203941520765,196.84815024227228,471.38480237563147,55.84013482306618,82.49921201919933,434.8309988799059,264.80635196848596,239.4890116313055,286.39779352045366,382.46432858627884,164.64054918342313,86.01338447248364,316.7787064559828,39.49106240341525,151.1952597100071,182.03444403269327,472.36729689155254,37.868128146573355,309.50890784438695,186.69806190830536,298.20841924903556
2,301.3735000678908,290.02777491684367,,,441.635732107544,457.91298923725157,364.2963520354691,319.0111298666002,169.7707617675371,474.4965992318643,515.3480573922311,320.548978969016,538.2665237676283,536.739776860614,213.7532303254488,92.06841978443146,184.1599750638443,421.1116461632562,309.4415225361084,268.91451949568744,538.7670760933613,32.0993545778997,196.64523577175427,473.3800182496479,54.45411144426386,81.04972940126764,435.07771523070693,262.81607768876466,238.0681525900527,287.8131451556182,383.9749512199579,165.9596700743536,86.8861976167974,318.58432487674224,39.23923427832253,153.1848936616889,180.04135773054722,472.1444344710539,39.269071888919584,308.0738408434934,184.69266029326522,298.22903547243027
3,301.8313334238544,286.7036998891249,,,439.62911420192563,457.988152334004,365.7916208690597,320.3514044748631,171.7759160709328,474.60393575796564,514.7524786755943,318.63131087923847,539.2838532585187,538.471020811427,215.43311066640226,90.96834390053077,185.47720708745683,422.6272532054117,308.128286687607,270.4335904342787,536.8296605453927,32.62716695436613,196.44206657966296,475.37773874802764,53.06634816955958,79.59842722610087,433.5856432872691,261.47224502586823,236.64550992316924,289.2302735028841,385.48747016084934,167.2804468774912,87.76010641652088,320.3922099173429,38.98709002961346,155.1770252306634,178.04576947732127,471.9212922880216,40.67177425692355,306.6369723815047,182.68474126754847,298.2496775756789
4,302.289166779818,283.3796248614061,,,438.1884508633833,456.5830972260701,367.2901357715238,321.6945886760969,173.7854233500774,474.7115053001966,514.1556070211991,316.7094797369342,540.3033912630356,540.2060231078799,217.31950882430007,90.26749248886735,185.71427234766335,424.62562523627935,306.81219994439317,271.9559591135702,534.8880390752755,33.156125155106956,196.23845632896354,477.3797960841599,51.6755722090636,78.1439744289784,432.09033221506473,260.12549504584445,235.2197788510604,290.6504782843766,387.00327261875407,168.60409094594797,88.63591237887444,322.20401968320044,39.706867971226345,157.0562831762681,176.04584901521923,471.6976656871519,42.07752174189458,305.1969846316094,180.67246326416608,298.2703644907281
5,302.7470001357816,280.05554983368734,,,436.7430734916597,455.17344459960213,368.7935540048244,323.0421679464102,175.80150599193064,474.81942682361415,513.5567823270419,314.78136011936215,541.3262653252242,541.9467025519191,219.21207951624632,89.5643478024871,185.95211331547125,426.63053619391087,305.4918067984196,273.48330917628164,532.9400643734276,33.686814174175076,196.03417983969734,479.3884044058423,50.28024545321514,76.68476247781706,430.5901282953629,258.7743383290607,233.78938260604008,292.0753301560568,388.52403497456953,169.93206614569132,90.61031941017303,322.62586461769337,40.42900111756274,158.94169029224093,174.03938455968995,471.47330735167884,43.487869010945204,303.7522850591445,178.6536008319139,298.2911190959874
6,303.2048334917452,276.73147480596856,,,435.2938676865985,453.760058165469,370.30095440679406,324.3933166080149,177.79179988353872,475.1890061826727,511.73607549839124,313.896552048807,542.3518487180253,543.6919926086217,221.10966314175064,88.85934066647181,186.1905842629011,428.6407576456038,304.16791627021377,275.0147047969302,530.9869299870329,34.21890885211972,195.8293622744901,481.4023330149537,48.88122283525245,75.22168544907134,429.0859507208829,257.4196027452488,232.35519760883813,293.50395609429796,390.04882543917887,171.2635588105795,92.47754492295591,321.8439902275083,41.15304700908644,160.8320913672994,172.0276054952824,471.2483547486131,44.90195192759072,302.3037588486582,176.62939095172817,298.31192867486413
7,303.6626668477088,273.4073997782498,,,433.84156839009626,452.3436547003375,371.81157252306315,325.7473494471503,179.80426470528616,475.44465704593455,510.04257619447634,312.7796670366875,543.0960544516092,545.5791942005981,223.0112973711676,88.1528286140854,186.42956425316822,430.6552701392134,302.8411997500035,276.5493693523489,529.0296264174301,34.75213934550638,195.62410750334377,483.42056057932274,47.4792138474592,73.75548531921035,427.57856231158826,256.06197532722075,230.3268828209019,293.5401658125596,391.5768707391161,172.59789369508084,94.34875623687356,321.06044683922397,41.87863845732855,162.7265277143154,170.01153206406005,471.02292195912406,46.31905336195424,300.8521405974013,174.6008601697648,298.33278267410816
8,304.1205002036724,270.083324750531,,,432.3876588445442,450.9256807859609,373.3238655498635,327.1028835815751,181.818960864317,475.7005913642395,508.3471992089764,311.66154366892476,543.8410853295545,547.4684882431992,224.91504005351732,87.44553321052354,186.6688092145079,432.6720162404799,300.86299268490654,276.08980456246576,527.0701526710458,35.28596106268373,195.418625154245,485.44102587046456,46.075650370418565,72.28765952763376,425.6972259062952,256.8268781436745,228.29631912189902,293.57641567865073,393.106610272121,173.93370803459882,96.22204227206075,320.2760346906232,42.6050344111866,164.6230645335516,167.9932232944782,470.7972392191352,47.7377260194421,299.39891285220915,172.57008023724958,298.3536597953991
9,304.578333559636,266.7592497228122,,,430.9316165887859,449.50562687462116,374.8383769284059,328.46040612132555,183.8366123399795,475.95690110736666,506.5510468824049,312.61571817152725,544.5872090780722,549.3605536526295,226.8215752971107,86.73720028978556,186.9084051193931,434.69172066539636,298.8818838282843,275.6295656463821,525.1078046126586,35.82056583203103,195.21284138728674,487.46445494086004,47.244292519858476,70.62306117120738,423.8131298070685,257.5929029804413,226.26277683049432,293.6127187189297,394.6385937487913,175.27148185287825,98.19809144157487,320.7575342662487,43.33249590042773,166.5223833438981,166.49903687428514,472.1771012062105,49.15847969886508,297.9435533969298,170.53632139514403,298.37456754091266
10,305.0361669155996,263.43517469509345,,,432.2956710966061,447.9906172825704,376.3564148414809,329.82108964763773,185.85896191015905,476.2138076668486,504.54807721722915,312.23622998370564,545.3350701731705,551.2570247298539,228.73254990145725,86.02721801827947,187.14855892251828,436.71612796511516,296.89616196650763,275.1682550655663,523.1408872335711,36.356415426743844,195.00657845353535,489.49259555888204,48.415655848521325,68.95458680323698,422.3303596751722,258.99193532469445,224.22449944286276,293.6491062907131,396.1741444437146,176.61237067288943,100.17874183477939,321.24015501197886,44.0616512812429,168.42612471155775,165.0013712461551,473.5601761971738,50.58254159834089,296.48480514216766,168.4978269525741,298.39552397003973
11,305.4940002715632,260.1110996673747,,,433.66357620745543,446.47133095488266,375.9613013369024,331.82690136768684,187.88702039104297,476.471439450411,502.53945334907553,311.8556705349064,546.0850424127881,553.1588493741336,230.64891901500997,85.31523153076174,187.38939065820148,438.74624998432347,296.7323718261161,273.130469962152,521.1684174238625,36.89377767660405,194.05963947356375,491.304418371962,47.09309523287589,67.39566770471703,420.84340381673144,260.39491701125894,222.1804681817327,293.68559658133455,397.7140298599584,177.9570447012794,102.16498342566705,321.72413815260956,44.792865002030574,170.33524016964785,163.0971233616208,472.8163782864256,52.01062349630827,295.0219389724568,166.45357802377904,298.4165395572789
12,305.9518336275268,256.7870246396559,,,435.0348783202953,444.94827169101796,375.5652066229177,333.83769424202194,189.28752232253638,477.9676925525988,500.5258413430575,311.4741660196732,546.8368771040996,555.0653969352671,232.5700471645819,84.60147692387946,187.63082046598706,440.7814135290628,296.56817493570327,271.08762430300345,519.8061627535432,35.3626208527886,193.11034890240762,493.1207405948722,45.76725022198377,65.83287724754888,419.3527553103351,261.80138280760866,220.13136085340486,293.7221774905149,399.257739367349,179.30505804049938,104.1561575711482,322.2093231980208,45.525894590341025,172.2490966503132,161.23170937762697,471.9676087804679,53.44225183694306,293.55543997818006,164.4042524872389,298.4376073338045
13,306.4096669834904,253.46294961193712,,,436.41161504897303,443.4191763816168,375.16754214353574,335.85645610196497,190.6935745918485,479.4698754646588,498.50424917891337,311.0911495615492,547.5916913961005,556.9795003467666,234.4987889489396,83.8848936317246,189.09818256930726,442.22376748806954,296.40332731558414,269.0366826296583,518.4385093233611,33.82539589194706,192.1572961919502,494.9442610955556,44.43615074657417,64.26389328590774,417.8561992056746,263.2134225772066,218.07413269522075,293.75890337372147,400.80756675938323,180.65841369967518,106.15522295113234,322.6964310832697,46.261829252721526,174.17053794736853,159.2317770760864,471.4840725619926,54.879553872660075,292.0831290927192,162.34680525606018,298.45875860416487
14,306.867500339454,250.13887458421834,,,437.7900466655715,441.88819861704786,374.7693881030717,337.8777032410613,192.10135783917374,480.9739077002818,496.4801682512545,310.7076615753873,548.347434933032,558.8959601933664,236.42990518956367,83.16742816047129,190.56735112861318,443.66789711576564,296.23827675307643,266.9832160608876,517.0691721876236,32.286278467598635,192.294748241223,496.9997594709851,43.10341256684645,62.692977762546015,416.3578007045619,264.6272006959742,216.01437190237752,293.795674469825,402.35930212966144,182.0134354625522,108.15674936211447,323.1841386425548,46.99866991749432,176.0943447131275,157.22938267628868,470.99994106652724,56.318625357690145,290.60900565887243,160.98220183473967,300.0020745600738
15,307.3253336954176,246.81479955649957,,,439.1708139123712,440.3546267463504,374.3705594258753,339.90237520428775,193.51152645043703,482.4804883852228,494.4526576978619,310.32352380282214,549.1044590104038,560.8156673113166,238.36429353549894,82.44874700756729,192.03900906382762,445.1144736931199,296.0729465270193,264.9262700750189,515.6975148314766,30.744553145189595,192.43243319081068,499.05874070622906,41.768416180396336,61.11940046206322,414.856863299995,266.04337433645816,213.95112102743138,293.8325078712917,403.9136667779913,183.3707531897082,110.16166718220086,323.67267257907264,47.736759093465956,178.02141119894034,155.22359539665658,470.5149892531523,57.76013522180392,289.1323844535214,159.61528621386915,301.548005528083
16,307.7831670513812,243.4907245287808,,,440.55554418577276,438.8166532749244,372.30183996592194,339.8454531093222,195.34182812561977,481.5146539756535,492.4193278593746,309.93828349236367,549.8636558700197,562.740884300966,240.30423389064572,81.72800312284967,193.51489089670443,446.5652021805596,295.90714177631986,262.86342031957616,514.3219205955958,29.19840282031938,192.5705133186003,501.1236315525438,40.42958813715896,59.54130673876095,413.3516179609259,267.46361262565324,211.88194828685397,293.8694469906122,405.70108788575254,184.41380933029433,112.1723394425623,324.162608687456,48.47696670543444,179.95400867903513,153.21205118125908,470.02864554918796,59.20578245371194,287.6515251051154,158.24444732281643,303.09837356944035
17,308.2410004073448,240.166649501062,,,441.9430686116709,437.27557643203517,370.2289461784806,339.78841615515495,197.17582304135152,480.54687067489675,490.3818951036957,309.55226583183503,550.6243846610458,564.6699860542847,242.248088718734,81.00580489834938,194.99375081057448,448.0188579937774,295.7410024595558,260.7964080807206,512.9435506422035,27.64913262447263,192.70887206883444,503.19268900084904,39.811659177078916,57.5618356810165,411.8433352902531,268.886716716541,209.8086003041446,293.9064606468547,407.492115708299,185.45897018251657,113.5419717310886,322.6056086031979,49.218667931709405,181.89050581538618,151.19644800838853,469.54132048553157,60.6543467582801,286.16767763192803,156.87084230973736,304.6518699924158
18,308.6988337633084,236.84257447334323,,,443.33364479516,435.7311101043442,368.15149321411025,339.73125375241574,199.01385169357206,479.5769588061816,488.33998116501044,309.1653991539458,551.3867866189146,566.6033307245636,244.1962189120819,80.28201825214448,196.47586336770172,449.47571101569275,295.5744977316237,258.7248496009681,514.2806729008856,26.05816360378275,190.89461672410323,504.20637332230837,39.192371127847444,55.57801092274342,410.33173526314056,270.31295081986747,207.73069214553718,293.943555711903,409.28708276438334,186.50642978891204,115.26256699921746,323.7712115728023,49.962000475102286,183.83126213429674,149.17641166506826,469.0529235863568,62.10609707314826,284.6805665457148,155.49421615378873,306.2087832161429
19,309.156667119272,233.51849944562446,,,444.7265339603906,434.18407482540937,366.07058476788103,339.6739962699568,200.85493758693008,478.6054336576837,486.2946708574574,308.7778889905914,552.1504566999032,568.5398911776063,246.14758948134067,79.55702771267771,197.9604411614152,450.9349872593487,297.33401494295396,257.61239395514747,515.6200192299979,24.464548282703255,189.0773436809988,505.2217437314161,38.57205300060399,53.59088641685586,408.8176209521616,271.74155721568627,205.64932774793442,293.9807124781433,411.27488837565267,187.1245618400888,116.98602417846413,324.93875332031666,50.70656942295911,185.77524656395997,147.15301534245685,468.56371432384395,63.56026212229088,283.19098190873115,154.11530021954434,307.76828609436166
20,309.6145004752356,230.19442441790568,,,446.1209943324834,432.6352944597103,363.98732901526733,339.61667419991136,202.69810026203194,477.63281260936964,484.24705339893296,308.3899417080153,552.9149882160308,570.4786361096074,248.1011612356655,78.83121936936905,199.4466935885993,452.3959095958203,299.09551692492187,256.4986834370884,516.9608763685814,22.86913533163947,187.2580207175223,506.2382594986717,37.95103514209503,51.601520394746004,407.3017986899292,273.1717751081184,203.56561552962495,294.01791115795976,413.26493627144475,187.74339115659347,119.07002456084979,324.95227207501955,51.45197825949443,187.7214238469759,145.1273365882878,468.0739532234896,65.01606749871944,281.69971699045743,152.734828840522,309.32954812304627
21,311.15307765650687,227.06587769553332,,,447.5168340091254,431.08498214670965,361.9020126489609,339.5592954308062,204.5430860672231,476.65922951103,482.19741057767175,308.00161069459784,554.9284142621383,569.9327861049493,247.4861887899534,76.83781886727614,200.93441611473716,453.8582769764574,298.95982810794305,254.41699536831433,518.3030597910722,21.2721443075194,185.436898204564,507.255780733598,37.329403015318206,49.61018662822459,405.78447708029057,274.60340767398617,201.47984224611818,294.0551466321587,415.2569525861111,188.3628325766104,121.15608629346488,324.9658042015473,52.198124403320676,189.66952615506517,143.09965417164344,467.5837076850492,66.47331285796761,280.20697701521755,152.0843992271199,311.3116626476737
22,312.6916548377781,223.93733097316095,,,447.74216802668076,429.0071488067919,359.81278740249917,339.5018091064468,206.391530258162,475.6838214523562,480.1439257455392,307.6125517631453,556.9456144315602,569.3859129163344,245.74330634861298,75.68433388531551,202.42492734437968,455.32338553293056,298.8238849452292,252.33140522054973,517.2100490257396,19.490713906182176,183.61236203708,508.27520928993937,36.706605652645514,47.61512014988624,403.984958580611,275.66637520747554,199.39015922597474,294.0924519034439,417.32193535055205,188.6853430268335,123.24605830340822,324.9793616937518,52.945669181858506,191.62128013854317,141.06817090842839,467.092543192014,67.93328979193424,278.71143893137383,151.43275039755983,313.29749260284973
23,314.23023201904937,220.8087842507886,,,449.6890555815998,428.2330935579948,357.71845890912965,339.44418236309355,208.24448955206435,474.7060308127866,478.0854249678366,307.22254249673375,558.9677419158058,568.8377039077003,243.99616665476017,74.52803134278913,203.91907937189052,456.792072837422,298.6876097208931,250.24072070515265,516.1143684172114,17.704932093142222,181.7833691655759,509.2971279538633,36.082287013738664,45.61518042159378,402.1810444863279,276.73193919904793,198.45850014127788,292.21587415936006,419.3919621459922,189.00864125734049,125.34113538434148,324.9929523021702,52.79394013466019,193.71089995466411,139.03172544178466,466.6001789558278,69.39683293915928,277.2122477708144,150.77950981771815,315.28817324638277
24,315.7688092003206,217.68023752841623,,,451.6401270538381,427.4573748422176,355.61962964362584,339.38643177821234,209.97973938243422,475.8881168680257,476.02250041279063,306.83169508919775,560.9942150101417,568.2883167821483,242.2452723074833,73.36924387286066,205.99807741680846,457.08564828771836,298.55104163718255,248.1455432486347,515.0163331595598,15.91531258365329,179.95044573581603,510.32124275037137,34.508997642484175,44.22479199741621,400.3732537288022,277.7997931182681,197.68997349815973,290.2619585484375,421.46643748851915,189.33263426503814,127.4407148461452,325.00657211719675,52.64188501737796,195.80501042383656,136.99090359529495,466.1067566147449,70.86352128267762,275.70983480535625,150.1248654050928,317.28313191984137
25,317.30738638159187,214.55169080604387,,,452.3728022581151,425.48523223106264,353.5165816454406,339.32856511229306,211.71847713594775,477.0725789645919,473.95542929500004,306.4400620623841,562.6346934191397,569.6055069822738,240.76147686551295,71.87776456690857,208.08125433284317,457.37981383667926,298.4141990460371,246.04615439972082,513.9160908061226,14.122095865741525,177.9185441506396,509.7757747111125,32.93254589523421,42.83160883562881,398.56182923790175,278.8697934675491,196.91990208505047,288.3041154872073,423.54508261134606,189.65727851193498,129.54451454855555,325.02021930860866,52.489524263089805,197.90333014071675,134.945979613409,465.6123424745718,72.33315772976492,274.20440192837765,148.35983181740536,318.428040592195
26,318.8459635628631,211.4231440836715,,,453.1066237073317,423.51000427120863,351.4102435016196,339.27060791598245,213.45993508435768,478.25889411101775,471.88512431615493,306.04781633928616,564.2777382996984,570.9247578807725,239.27536007704833,70.38395189332358,210.16769030689503,457.67443959743656,298.27714236940506,243.9434811297832,512.8141271616922,12.326073722483507,175.88346372592235,509.22945330602914,31.353627843914754,41.436246087116054,396.74757083622586,279.94146779525687,194.8412592905542,287.9587699419801,425.62697970235683,189.9824306534938,130.549535552228,326.8722323201441,52.33692514568715,200.00493260600066,132.89785641889435,465.1171548406282,73.80509337209016,272.6966138538884,146.5920368959012,319.5747404344482
27,320.38454074413437,208.29459736129914,,,453.8412550125285,421.53259642116865,350.92823923153924,337.2169534066749,215.20331493098297,479.44651849202194,469.8125345187486,305.65513772812693,565.9225964683853,572.2454647236709,239.9430532790302,68.38294945754245,211.06846156827223,459.5819081016724,298.13993443503955,241.83848731916953,510.86920445209694,12,173.84613735697204,508.6825289727302,29.77296727576461,40.03934339606343,394.9313101926999,281.014324838275,192.7603224757626,287.6130432684072,427.7111744051517,190.30794163766558,131.55566571163698,328.7262892400639,52.755009890253554,202.07254719927855,130.79092531930178,465.2204326288717,74.51800025360943,270.71127037271003,144.95187971726267,318.248200050843
28,321.9231179254056,205.16605063892678,,,454.5771613775984,419.55175649113903,350.4453983726842,335.15973448016996,217.14959135951756,480.26949666322736,467.7363474391881,305.26177756591403,567.5703095285436,573.5684638460946,240.61190536003528,66.37847398992375,211.97079624966992,461.4926872959534,298.00248835627406,239.72983998450638,508.92090604521553,12.81817988504566,171.8052749106955,508.1346553724097,28.1895632404505,38.640016176467874,393.11189716368585,282.08904398130903,192.9168015485167,285.5057228593711,429.09751865496986,191.90272520528416,132.56354215681446,330.58356414642714,53.17382028192699,204.1437504395175,128.68033733321192,465.3238896707934,75.23214448909313,268.7224810380958,143.30887580640723,316.9193572627512
29,323.46169510667687,202.0375039165544,,,455.31492897510196,417.56590667982726,349.96133632712736,333.0973124969026,219.100790252357,481.0945562862821,465.6549093291781,304.8674225289089,569.2221899354387,574.8948090584466,241.2824490817784,64.36892886272604,212.87541308903604,463.40829917599285,297.8646946529848,237.61585952188452,506.9676800601019,13.638429086258357,171.37775008862164,506.05977633315854,26.602154506867567,37.23714982019662,391.2878825294939,283.1664812719514,193.0736763834754,283.393072678397,430.48736920532366,193.50154225194532,133.57396769304208,332.44553641709933,53.59368991635407,206.22019210522816,126.56441131092562,465.4276083731804,75.94809491688135,266.7286617168024,141.66171645905501,315.5871536051059
30,325.0002722879481,198.90895719418205,,,456.055475012201,415.57257813975997,349.47545129943006,331.0271234133719,221.05933737827257,481.92272309150786,463.56563250399563,304.4715823471872,570.8802913392235,576.2261492991352,241.9555180773791,62.351815769994,213.7834367237856,465.3311252680891,296.02858151301297,236.54326657069902,505.00709820786386,14.461767353548904,170.94861520411388,503.977083280256,25.008767577312796,35.829000256253224,392.0600278746283,285.14778353755787,193.23114201051342,281.2724662373025,431.8824539457041,195.1063804583909,134.58819850118405,334.3145208925634,54.01514078370757,208.30445366945588,124.44051669167023,465.5317176811599,76.6667416206021,264.72733365350507,140.0083538943669,314.24993285616506
31,326.5388494692194,195.7804104718097,,,456.7976738230342,413.57480082690944,348.98848185837915,328.95231401730075,223.0222556507269,482.7527382252299,461.47169276565575,304.0748587170066,572.5420933454172,577.5604608664811,242.630089249349,60.33020082137253,214.69348691399333,467.2582427834071,294.18837047848945,235.468279773124,503.0421406679215,15.286943172854233,170.51852256299142,501.8897420080643,23.411824477130406,34.41770794021007,392.8338965178177,287.1335077353333,193.38895907424728,279.147126960637,433.2806522797038,196.7148003927809,135.60469290126508,336.18767662585054,54.437532258246726,210.39336695362525,122.3118818981853,465.63605934353876,77.386992222442,262.7215389638392,138.35130130355878,312.9097276562652
32,328.0774266504906,192.65186374943733,,,457.54068556536134,411.5748353455091,348.5009790389538,326.8752320793211,224.98732391057067,483.58366247579886,459.3754595319142,303.6777005548263,574.205715525893,578.8962339073298,243.30539928015645,58.30637159480231,215.60453388356788,469.1874710734905,292.34614385800205,234.39211554086359,501.07503090697685,16.11302280849797,170.08795884074058,499.800114467781,21.81313224272512,33.00486983353216,393.608612780517,289.1214068998631,193.5469489952527,277.01945979660746,434.6803820624797,198.32498203198784,136.72758953109175,338.0017966700463,54.86038637881472,212.48456822771334,120.18091560775169,465.74051529150023,78.10803171586896,260.7135473241784,136.6003022916124,311.69074002868575
