"frame","targetX","targetY","chaserX","chaserY","d0_x","d0_y","d1_x","d1_y","d2_x","d2_y","d3_x","d3_y","d4_x","d4_y","d5_x","d5_y","d6_x","d6_y","d7_x","d7_y","d8_x","d8_y","d9_x","d9_y","d10_x","d10_y","d11_x","d11_y","d12_x","d12_y","d13_x","d13_y","d14_x","d14_y","d15_x","d15_y","d16_x","d16_y","d17_x","d17_y"
0,302.96254507721176,301.56946161772873,452.7078298853865,99.99269515521529,317.633762075989,54.580992518923516,483.32506370312154,291.15828002341766,41.379059489115896,263.15788073183666,458.13397368074857,58.72015336205609,353.9525106674745,498.45087433791923,79.66686609934801,123.49574038274335,504.4385869819636,449.00651219902556,157.28263125700641,461.7446094469889,309.4784915468517,474.253032498096,502.2852396280528,293.8037021656573,313.06842504530914,344.85012675557635,561.6779877744126,384.2597623631231,409.5827463431336,260.91843205649064,450.12159850614717,366.1626539305692,315.1130399043365,163.6477571975425,207.6499575318937,369.74539682984357,316.2122414915158,178.44417440742555,148.2044157360384,59.754938827093866
1,305.9250901544235,303.13892323545747,454.1215680314387,98.66552016857865,318.95101214949625,53.06741076346066,481.4628062058334,291.9053238644464,40.23115110924925,264.80359754771257,456.2720667760324,59.468070579931805,351.9963890923138,498.8977142083601,79.48792762365781,125.49425445788582,506.1071358710059,447.89205175042235,158.30439557634216,460.01774084678874,310.5941958656121,475.92074990812813,500.6910426331793,295.02214930368217,312.67205207309985,342.8831580335254,561.827479713953,382.2588301687104,411.2177134049886,262.0816002271668,451.3561081043372,364.5808626868832,313.9107334321751,165.2541620760285,207.94863659642644,367.7612425256034,318.1941495507719,178.13093658837977,146.92303139308706,58.21087546950002
2,308.8876352316353,304.7083848531862,455.5173110567076,97.28467060079575,320.26984444769664,51.55201095804908,479.8982292170382,293.1654246727751,39.08186391072043,266.4512911285448,454.4079234280316,60.21688616411955,350.0379179072185,499.34509080382475,79.30877421469071,127.49516906302854,507.7776889499184,446.77625265938764,159.32738719546643,458.2887980055648,311.78681484185734,477.53735597594977,499.0949307567644,296.24205998852165,314.5247617134438,342.1064842348205,561.9771512168452,380.25549453975555,412.8546443196532,263.24616554591597,452.5921005428849,362.99717146291596,312.7069828006796,166.86249649964574,209.03286366136234,366.07002791099103,320.17843819358916,177.817322521405,145.64010790583075,56.664957448755025
3,311.85018030884703,306.27784647091494,456.9694348488415,95.95100924030197,321.59024066105843,50.03481414119453,478.3317969008619,294.4270197505129,37.93121384924307,268.1009385991748,452.58678459744516,61.070575628189495,348.07712430191583,499.7929979133217,79.12940835965836,129.49845641919646,509.45022302618105,445.659130416715,160.35159191204463,456.5578049264704,313.2363538787651,478.93169055624753,497.4969261578509,297.46341728398636,316.3796683584411,341.32888943051785,562.1270002051788,378.249783288845,414.49351636138834,264.4121118449163,453.8295586623358,361.41160224527243,311.50180472168705,168.47273813966424,210.11837643877854,364.376807797893,322.165079871813,177.50333656044884,144.35566308527424,55.11720622705326
4,314.8127253860588,307.8473080886437,458.49542197161304,94.6047423343298,322.9184784094414,48.50860703496395,476.7560618967944,295.69610715660224,35.976992187265076,267.5769716696896,450.5851960452992,61.36581606454007,346.10468598605604,500.2435650420233,77.10634967155964,129.52597353834938,509.60295565273947,443.64165764313844,161.3818791492122,454.8165318702647,314.69450140076805,480.33430577483557,495.8894313703867,298.6920279446977,318.2455908752431,340.5466766662206,561.0175436437667,376.5578525025308,416.14212129419093,265.58498243576474,453.75896219095574,359.38958845066895,310.2894693621619,170.09254264125792,211.21033583151666,362.6735320328012,324.16351976646365,177.1874859077554,143.06359023690212,53.56026326026298
5,317.77527046327054,309.4167697063724,460.0058997973513,93.1930540390605,324.25024328786435,46.97834709185365,475.17614253471214,296.96856461923375,34.01758109746271,267.05161334811424,448.5782922827411,61.661840510691114,344.12700986812024,500.69532864993704,75.0779187591884,129.5535637291024,509.75609386017817,441.6188274786631,162.41490231002635,453.0706348704075,316.15652102769644,481.74064563253893,494.2776678869297,299.9239011761154,320.2493435035799,340.86332882446743,559.9051409248833,374.86142880076585,417.79510409081325,266.76096757978644,453.6881782509277,357.36220520650346,309.0739146509278,171.7166485272412,212.30519491806436,360.96573322571265,326.16726651027903,176.87079651491422,141.7680862942376,51.999185837637924
6,320.7378155404823,310.98623132410114,461.49590056116574,91.75199198646094,325.5887106074483,45.44038573132662,473.5882718317175,298.24742604356396,33.30391198524972,268.9614553076338,446.5612882730581,61.95935477420007,342.1393805985203,501.14936587164686,73.03927925890537,129.58129277441836,511.7912329108461,441.4962348340431,163.4531244192926,451.3159512054983,317.625898635515,483.1540632487125,492.65779279902335,301.1619741188974,322.2631805201673,341.18157461421293,559.0569383923934,373.0074135969592,419.45640593842865,267.94287116433895,453.61703807294737,355.32461864707943,307.04778477015833,171.9438436379313,213.40556415788762,359.24933949229387,328.18109761272973,176.55251330318188,140.46606240267658,50.43025190089212
7,323.70036061769406,312.5556929418299,463.0240422365611,90.3852854407643,326.9292691602013,43.90002144637795,471.99792022550355,299.52828557228565,32.58912783010865,270.8742812211094,446.6202453911,64.00051704651865,340.14864583938356,501.6041124851245,70.99745457025031,129.60906514383979,513.8295516807526,441.37345064959175,164.49296865595784,449.55852600732385,317.85086946435797,485.18364633148445,491.0353868039638,302.4019814377868,324.280163973507,341.5003176339929,558.2074106207706,371.1505016634131,421.12030341873276,269.1266213654972,453.54578674492427,353.28384854440753,305.01848924615695,172.1713937202702,214.50765262433586,357.53026405013713,330.1980751426924,176.23373280294666,139.16200421748056,48.85886664789786
8,326.6629056949058,314.1251545595586,464.56671258193046,89.0347918154077,328.27203722028514,42.35711833448075,470.4049474032857,300.8112562124636,31.873165568403323,272.7902598524352,446.6792996822078,66.04504356055195,338.15462995311134,502.0596086115377,68.95226454808657,129.63688328765406,515.874722051981,441.3442234613468,165.53452676290433,447.7982042226102,318.07621108990696,487.21657457116197,489.4103067608871,303.6440325355591,326.300471817055,341.8195860057147,557.3564826582831,369.29052916938525,422.7869433332804,270.31232262261045,453.4744179805301,351.2397148463945,302.9858490392041,172.39931885043828,215.61155755194565,355.8083552294726,332.2183770531005,175.91442688899434,137.85579668482472,47.28489143922506
9,329.6254507721176,315.69461617728734,466.0917221461542,87.55742537843955,329.6170957966821,40.811583312537095,468.42638666223496,300.2791298440452,31.155982006245015,274.7095067922956,445.31512257267065,67.57372988933504,336.1572126410442,502.51588173089493,66.90358580642727,129.66474888412534,517.2340616419566,442.8772130102736,166.5778615771661,446.03487965142574,318.3019371069862,489.2529706139805,488.48950265641923,305.47432783391633,328.32422593566025,342.1393989907882,556.504103168583,367.42738390303265,424.4564262301911,271.5000464688459,453.4029274740988,349.19209423078144,300.9497415204413,172.62763277912214,216.71734553912472,354.08350914781664,334.242125228445,175.5945762976502,136.5473610014176,45.708231317201175
10,332.58799584932933,317.2640777950161,467.6635375490493,86.15576152155651,330.9643111695643,39.26357003086437,466.44465330630555,299.74615021295017,30.43764844287987,276.6318312375723,443.94875801015064,69.10486746102963,334.15659247765615,502.9728864825226,64.85162201593299,129.69265916297817,518.5955809279701,444.4126607023095,167.6228693749691,444.2687275957702,318.52802507490446,491.29263201037156,487.56722204595303,307.30755800405956,330.35122513655904,342.4597247948082,557.2043589834508,365.4984007058769,426.12858613679293,272.6896748259048,453.3313223329031,347.1411902630346,298.91036911075327,172.85631280835176,217.82490665327833,352.35589728180616,336.269118476553,175.27421282705805,135.23682724619962,44.1290430264646
11,335.5505409265411,318.8335394127448,469.15518139304027,84.70870474674251,332.31498636291076,37.711581254153046,464.457830607011,299.21180182235923,29.717470107540844,278.559092456574,442.57888444961134,70.63993718879274,332.1508344671786,503.4310648804905,62.79438852138314,129.72064111897774,519.9605967687165,445.9520516193513,169.6545014413003,443.94397570891783,318.75469366548623,493.3375315167051,485.51716595402473,307.48151966910984,332.3834299292714,342.78087323624334,557.9064131443346,363.56446363447435,427.80504036275954,273.88235829992374,455.239494561828,346.37185848433376,296.86575933327737,173.0855801169881,218.93531212527202,350.62384868874483,338.30131730118705,174.9530266223182,133.92292787357803,42.5457991793002
12,338.51308600375285,320.40300103047355,470.71134634631517,83.26795160294934,333.6710488980541,36.153402170515,462.4630832097404,298.67532211445905,28.99441924824764,280.4940408049238,441.20354697211735,72.18112973967891,330.1370762328,503.8910707819515,60.72894948634081,129.74873468460916,520.9883869218781,447.7438314766359,171.69423693353346,443.6179285073797,318.98226635290644,495.3905873678321,483.4589329495978,307.6561752026444,334.42374043227863,343.1033026195585,558.6112675385707,361.6228128062273,429.48818134211194,275.07979894543865,457.1552777812081,345.59945812684543,294.8129943666288,173.31576188778422,220.07893458616033,348.9036872652562,340.34162181231153,174.63055932507444,132.60378784425234,40.95624036033906
13,341.4756310809646,321.9724626482023,472.2088419403929,81.92516811369869,335.02980734367384,34.59212536003414,460.46437016909664,298.13777586189195,28.269930932837184,282.432835913573,439.82547526473496,73.72538624745229,328.1193145606888,504.35199119487254,58.65940426991776,129.7768841014539,522.0182203659424,449.53917346911953,173.7380275074019,443.29123311002195,319.210291464589,497.44772478203913,481.3966080896881,307.83117795887,336.4681071600672,343.42637300631554,559.3175232135712,359.6773018928634,431.17466847791496,276.2796201543107,459.0748696597892,344.82552220432103,292.75614841519103,173.54640126981235,221.22483061754662,347.18010608708636,342.3859825363052,174.30745094901437,131.28202530797532,39.363521430275526
14,344.43817615817636,323.541924265931,473.67782918420124,80.56213722906746,336.3910403526359,33.02800516088846,458.46201708335275,297.59925063307213,27.544123183326377,284.37516194511704,438.4448938208051,75.27245514660963,326.0978781522155,504.8137510334922,56.58609000922902,129.80508478386042,523.0499293369611,451.3377851284788,175.7855402213239,442.96394273681915,319.4387318543398,499.5086086434913,479.5161023176208,308.7047484158367,338.5161970771976,343.75003176706844,561.3738321181852,359.9437995305059,432.86422703473255,277.48162647091135,459.91977989354757,342.93196629045053,292.77467706183256,175.619824524075,222.3728135484275,345.45338593243775,344.43406643870674,173.9837541297725,129.95785558510076,37.76790184933344
15,347.4007212353881,325.11138588365975,475.1582900952928,79.16076891306346,337.75445646548394,31.461376473583666,456.4564526849433,297.0598617339534,26.817151405535366,286.3206030197722,437.06209824256075,76.82200518757244,324.0731998258271,505.2762514284248,54.50945063051168,129.83333069365926,524.0832929312875,453.1392813462325,177.83633667354258,442.6361274653213,319.66753860980407,501.57279768747776,477.63258064788465,309.57971987839665,340.56757165832556,344.0742096018474,563.4334388681575,360.2107245689126,434.5564952539126,278.68556052849635,460.7660451685093,341.03537354949276,292.79323542415113,177.69657307116682,224.166811240865,344.40705844059363,346.4854349954595,173.6595381754676,130.8812802574495,35.90765567875345
16,350.3632663125999,326.6808475013885,476.67543736588954,77.68741449014026,339.1205965599312,29.89161780440697,454.44688135096527,296.51939518478923,26.088727204139254,288.2699309090541,435.67653996430494,78.37465108882246,322.0444763759774,505.73967585715275,52.42866231486849,129.86163303622124,525.1187210922488,454.94437678985867,179.8663188867513,442.17824838612245,319.8968025003908,503.64111079375175,475.74529587287066,310.4564394544939,342.62304469960776,344.39903511450575,564.5062739593458,361.993841475968,436.43929013516566,279.5718812786985,461.614001204652,339.13499158844365,292.81183086439256,179.77747077329298,225.9643931778022,343.3586404814243,348.5409020003304,173.33467446712382,131.80654984844932,34.04369290522959
17,353.32581138981163,328.2503091191172,478.2397062332339,76.33669477367576,340.4896047635127,28.31856354410019,452.43309107200315,295.9777939664555,25.35877373051538,290.2233512667056,434.28807280988764,79.9305566542239,320.0114937727063,506.2040732108702,50.34350553950517,129.8899947974384,526.1563230573306,456.75326189660296,181.90056289606116,441.7194080239814,320.1265477133993,505.71376616897516,473.8540488843734,311.33499963788654,344.6828330530816,344.72454257407696,565.5813613877117,363.7807019038449,438.3260378037053,280.46006279314435,462.4637374611855,337.230619917347,292.8304653443725,181.86273716478803,227.7657490038112,342.308021447023,350.6006843047199,173.00912873167823,132.00529674465628,31.96783577175653
18,356.2883564670234,329.81977073684595,479.83326884791046,74.85338861064464,341.8615267321855,26.742161231839972,450.76747943517876,294.71567193847983,24.62726664096423,292.18092923862974,432.8966504744026,81.48977377269702,317.97418421673683,506.66945897707063,48.25391076515407,129.91841692316584,527.1961334302047,458.5659969921671,183.9391365428165,441.25959107672844,320.35678191075414,507.79083293549826,472.44218107805085,309.79427142184835,346.74700541198644,345.05074283612385,566.6587370070546,365.57136544372946,440.21680118192296,281.3501346923846,463.31528227652416,335.32219502605676,292.84913948554447,183.95244178857527,229.57093879349478,341.2551662996031,352.6648506016657,172.68289011229152,132.20446664911594,29.887560432436317
