"frame","targetX","targetY","chaserX","chaserY","d0_x","d0_y","d1_x","d1_y","d2_x","d2_y","d3_x","d3_y","d4_x","d4_y","d5_x","d5_y","d6_x","d6_y","d7_x","d7_y","d8_x","d8_y","d9_x","d9_y","d10_x","d10_y","d11_x","d11_y","d12_x","d12_y","d13_x","d13_y","d14_x","d14_y","d15_x","d15_y","d16_x","d16_y","d17_x","d17_y"
0,301.0687181806302,302.28035040356,243.9445678326882,168.3833326766808,242.37198003924937,155.594922415739,75.99509787219704,524.7068652814929,338.1045026566006,69.00341011458111,139.6130881795054,530.8287027562394,583.6245704667554,193.39528753192963,68.02462478402951,356.9722997977031,219.84422779219543,139.15204975589143,43.07809445853515,552.6239967877365,128.26070591141135,410.76842534153434,213.34899016601773,184.97132096305523,520.6611348292001,135.18716251027888,104.35988564929632,164.771542571808,314.56804423803345,519.8433831062617,326.30986409581874,533.2816996995881,108.19181690124226,125.75503272516139,349.3908918936694,334.5088767682644,301.0024931879501,498.55252541766595,464.6920888279288,350.8755184935327
1,302.13743636126037,304.56070080712004,245.59957536319018,169.45212691316792,243.43669382201944,153.8987666192698,77.96263848815188,524.3335773903357,339.2152752375498,67.33705355053846,140.02103559834097,528.8680552028576,585.2856501083404,192.27663908428033,66.26566423736548,357.929701343762,219.53251084025646,137.17382012640184,44.542371854580416,553.9901781931683,129.40454951694747,412.412256759652,212.4735588745757,183.17016023200406,522.5183263873434,135.9364284453632,102.40848616820752,165.22165365845552,316.47949311279825,520.4408135409375,326.66386803126,531.3105981956546,107.53162019777724,127.64572049363363,351.3701534118787,334.2037804430611,301.6599227002882,496.66087366286973,462.8030091503994,351.5403025916143
2,303.20615454189056,306.84105121068006,247.25178218349407,170.50044886009405,244.50236349343936,152.20108803226245,79.93194554103405,523.959954365301,340.3270450582454,65.6692009493899,139.24537601938636,527.0197812375203,586.9482210494668,191.15698632601573,64.50512451473011,358.8879624346921,218.23845886470514,135.64307066357676,46.00796386321526,555.3575861416581,130.54942005304224,414.0575639920404,210.4707474851412,183.0894696394977,524.3771853122099,136.6863670633926,100.45533474152968,165.6721688500239,318.39265806592493,521.0387803422695,327.01818978764936,529.3377270578667,107.10977358513935,129.605263774292,353.351191889916,333.8984102056392,302.31794244581295,494.76752360335433,460.9122334773343,352.20568352575106
3,304.27487272252074,309.1214016142401,248.86477660596856,171.66151251817615,245.56892838416502,150.50198330478514,81.90290691677062,523.5860174770177,341.4397488248285,63.999947263188716,138.4690648450562,525.1699546235711,588,190.03639299977607,62.743105844921445,359.8470285159973,216.94331981654378,134.11103528964048,48.00314510238269,555.1483748514783,131.6952523413891,415.7042533701704,209.24897173875368,184.68062694366458,525.1634570560677,134.84075218323065,98.50054256358429,166.12306249835783,320.3074301795508,521.637249467576,327.3728091931933,527.3631986032032,106.68757259886972,131.56645317571588,355.3338945458299,333.59278344094696,304.3020426507774,494.4711051192404,459.01986945195824,352.8716234153258
4,305.3435909031509,311.4017520178001,250.46386872030575,172.82456144776936,246.4274786316389,148.68710808829275,83.87542578957131,523.2117850955741,343.0302519989412,62.7747206588362,137.69214021254786,523.318666235913,586.3347175068803,188.9149141560234,60.97969478917415,360.806852472431,215.64715732099782,132.5777892676284,49.999902977683455,554.9389982379317,132.84199009163243,417.35224399849415,208.02623051827752,186.27304161535793,525.950350129165,132.99367885756453,96.54420566583079,166.5743124527778,322.22371538824905,522.2361915163589,327.7277088267974,525.3871098326912,106.2650379800872,133.52919235217468,357.31816397702596,333.28691516325773,306.2877107353981,494.1744523987156,457.12601003887437,353.53808954526005
5,306.4123090837811,313.6821024213601,252.11498599748955,174.01405177475172,247.28669821204707,146.87081797994327,85.84948245453845,522.8372609594444,344.6219951425952,61.54853885760305,136.9146098831155,521.4659345683859,584.6681367456385,187.79256099800963,59.21490896345878,361.7674247156272,214.34998432635876,131.04334791422838,51.9982175420792,554.7294583926308,133.989621848191,419.00151941405795,206.8025360385467,187.866697746812,526.7378566706658,131.14516553812686,95.21745920942635,165.06536848911873,324.14149454888013,522.8356005053589,328.0828851431162,523.4094804868907,105.84217394979143,135.49346169646708,359.3039803612219,332.98080842810793,307.46736743425294,492.5479290764445,455.230674157195,354.2050752577483
6,307.4810272644113,315.96245282492015,253.7243199147774,175.20788388303967,248.14668415324212,145.0529078741585,87.8252998331271,522.4624027752806,346.21515800427693,60.32126339222226,136.136386053711,519.6115504002281,583.0000695167082,186.6692067833755,57.448549078347085,362.7288537187448,213.0516543486393,129.50753795179082,53.99831445636188,554.5197316531711,135.13827720802408,420.65226586221235,208.30007811422516,189.20898709838272,525.7017021110896,129.4215772170835,95.93547324997948,163.186850773116,326.06098422773044,523.435544123172,328.4383782506342,521.4300872408998,105.41893275582483,137.4594830248095,361.2915679478455,332.6744286682229,309.4470072058172,492.9020467780755,453.3336477750535,354.87265587252597
7,308.5497454450415,318.24280322848017,255.43377458519817,176.3043435345715,249.00738708818062,143.23348212711775,88.62027129614526,520.6133111160616,346.26511951983423,58.30914425107535,134.29587789003,518.7969036727258,581.3306115746168,185.54491599768247,55.6807165308049,363.6910842914544,211.7522419177931,127.97044754268374,56.00007890601367,554.3098300588064,136.28789023317114,422.3043885827204,209.79886873159182,190.55239555320955,524.6646836811861,127.69655189342961,96.65408591842888,161.306766885639,327.80132036722443,522.4244310173437,328.79416774245533,519.4490437207528,104.99533869412689,139.42714347877526,363.28081264047046,332.36779347117266,311.03661881819636,494.1366538058361,451.43503979025786,355.5407930674767
8,309.61846362567167,320.5231536320402,257.0358257791156,177.41064139568886,249.86905103679314,141.4120249091121,89.41613038068229,518.7621548625477,346.3151368196786,56.294778488091936,132.45331471591436,517.9813473553837,579.6592896073834,184.4193698905832,53.91091011843365,364.65438923802793,210.4513786343199,126.43164090275953,58.004078416021564,554.0996940998378,137.43878685314766,423.9583559728131,211.29933281632952,191.89730398420988,523.6265073734007,125.96960050114421,97.37350095035661,159.42458379964555,329.54359967056683,521.412188958097,329.1503544893024,517.4657882761028,104.57127167054047,141.3970009144467,365.2722784145777,332.06081590208515,312.9733506684749,494.69274813010156,449.534311923955,356.2096762677615
9,310.68718180630185,322.8035040356002,258.71161845187737,178.54953098169585,250.7313456493851,139.5892345409156,90.21257196569196,516.9096437217007,346.3651907278892,54.278938382436785,130.60940294386143,517.165194120887,577.9867443760636,183.29299998043626,52.13980835982369,365.61839924105885,209.1495632306885,124.89170798858339,59.90414722044727,553.4245235556468,137.9342953629966,425.9129884298142,212.80089511186299,193.2431967726322,522.5875712097542,124.24138512881287,98.09344253227827,157.54102311734326,331.2871541726692,520.3992060246309,329.5068019342459,515.4810812588612,104.14689426632704,143.36830011651827,367.26520177053237,331.75361365179145,314.9115000400711,495.24924946763485,447.6321928881574,356.87904903308095
