"frame","targetX","targetY","chaserX","chaserY","d0_x","d0_y","d1_x","d1_y","d2_x","d2_y","d3_x","d3_y","d4_x","d4_y","d5_x","d5_y","d6_x","d6_y","d7_x","d7_y","d8_x","d8_y","d9_x","d9_y","d10_x","d10_y","d11_x","d11_y","d12_x","d12_y","d13_x","d13_y","d14_x","d14_y","d15_x","d15_y","d16_x","d16_y","d17_x","d17_y"
0,302.734232590687,299.60900790735434,207.60684265831577,188.38227464316626,321.4248581955822,296.13741337637003,488.87512114909845,163.5498143241592,57.61581542475252,440.8731045301785,335.1100271386215,137.38054941793803,113.84551755348123,435.1317003037791,578.6773160143376,164.09210938435626,45.11716961069281,344.4556866532055,371.0340563375112,180.01328697152442,233.3978398340506,144.86474974747915,25.27087815879024,207.32782680696474,391.73228346365937,424.514995927006,343.8715457082413,306.5201137147327,153.1889989955813,363.68568123968936,40.424159891361704,24.053268150951652,466.77984560257596,317.57171386212684,401.4448564344815,297.539613029027,145.38545920577778,227.75873939724806,63.39048265047927,488.47647351256126
1,305.468465181374,299.2180158147087,209.21634113225787,187.09554780784842,323.0900518385136,295.02382974842186,487.511509910439,162.0823325509521,56.45176608157068,439.2427893791935,333.15810149458844,136.93007783719221,111.91569697247192,435.6690371534426,580.540675889216,163.35669906243604,47.03655354838702,345.0291878865214,369.8618753400166,178.38880857092747,232.7782581922187,146.76975813433688,27.117343238796558,208.10468269656764,392.813522024054,426.20137119378654,345.8377437084848,306.90352444584454,154.04924969522168,361.87656347164284,41.10321944139498,25.937894504476944,467.2179152744366,319.52646022099015,402.92323963225317,298.8913975848789,143.84945981190697,226.47279840835242,65.29015609158115,487.84072263205417
2,308.20269777206096,298.827023722063,210.8394006875003,185.77082452339175,324.75785365816324,293.9085019251937,486.145762860668,160.61255227521855,55.2858934991466,437.60992068133527,332.2253599139583,138.7064539816664,109.98285373212742,436.20721562862343,582.4069543266675,162.6201368744322,48.958943798602796,345.6035873892794,368.6878583667482,176.7617857655031,232.15770610564596,148.67775031742977,28.966700419221997,208.88275536804647,393.8964541179617,427.8903878138581,347.80702134566394,307.287535709481,154.91084779722343,360.06461209991113,41.78334259584218,27.825472730055456,467.65667109059285,321.4842682801937,404.4039384073473,300.2452994278233,142.11839038753382,225.45844259755734,67.19280497284419,487.2039759810839
3,310.93693036274794,298.43603162941736,212.35853045598014,184.55874536332118,326.4284941763452,292.79127574724646,484.77769122766415,159.14027034547402,54.1180365317976,435.9742727432091,331.29103075132366,140.48585362467315,108.04672067688702,436.7463101157846,584.2764092817357,161.88232101349345,50.88460607209956,346.17896455437494,367.51184314631405,175.13199366986962,231.78268848137074,150.65223654305026,30.81920531627185,209.66215236578793,394.981229427118,429.58227924132234,349.7796508112633,307.67220058327524,155.77391239077042,358.24957667848054,42.46462336061072,29.716263726765163,468.0961736954123,323.4454086459093,405.88715742039193,301.60150569274947,140.3843745793778,224.44236029245252,69.09869227639652,486.5661455491977
4,313.67116295343493,298.0450395367717,213.9534962741641,183.3539691237388,328.41544713130185,292.46924892177026,483.40751296260726,157.66572131492168,52.94838123396542,434.3361061442973,330.3552628571821,142.26799328525843,106.10760625732712,437.2862347303301,586.1487429265122,161.14336902305357,52.813233586429355,346.75522771692073,366.3340170328693,173.4996919305993,231.40709338430193,152.62976319131448,32.67456280239703,210.44274952195522,396.06767513304413,431.2767759363949,351.75400824068447,308.06411391862713,156.63830597871564,356.431746365537,43.14695319902538,31.60996626759522,468.53635307055015,325.40956888357846,407.3726603757676,302.95980031878145,138.64768863817184,223.4247133678491,71.00751437019399,485.92733295088124
5,316.4053955441219,297.65404744412604,215.4337432200147,182.14501803580131,329.6297541401179,294.0785961559882,483.8919563345177,155.70871987103956,51.77687164402288,432.69534250726196,329.4180114601432,144.05295822908596,104.1654176973979,437.82701530470814,588,160.40324554828976,54.74491861590081,347.3324044479664,365.15432367385785,171.86480245095586,232.58989929315865,154.26240222487894,34.53286164633487,211.2245841838652,397.15584321624203,432.97395897150165,353.73149568235044,308.4566485667769,157.5040699175782,354.6110341878137,43.830364756847786,33.50667095588473,468.977230276189,327.3768429675568,408.8605183466895,304.3202482929094,136.90824947296485,222.4054531348916,72.91936258096382,485.2875076224354
6,319.1396281348089,297.2630553514804,217.03361944096667,180.84976333065416,330.8459183906412,295.6904048326446,485.5733913148109,154.59079362059086,50.60357026958505,431.0520693774572,328.47932656863196,145.84065321672915,102.4262371164382,438.852799688099,586.1218298733875,159.66199007957724,55.575494931930386,345.49198990834583,363.97282601355164,170.22741246286904,233.77451426385034,155.8975383249052,36.394002695820824,212.00761463558104,398.2456756159052,434.67373779094856,355.7120076245139,308.84978358346183,158.37115801325137,352.78753729208347,44.514821569650366,35.406276590168886,470.02636618107823,329.10203760801573,410.35065194630994,305.6827770264333,135.16614989408862,221.38463397770693,74.40260308405495,483.91747831457883
7,321.8738607254959,296.8720632588347,218.62445425436655,179.4808591757875,332.06396292185576,297.3047054858012,487.2574259190658,153.47113897273036,49.4284548836612,429.4062556247596,327.5391904002263,147.63111211423532,100.68436763250878,439.8801700106989,584.2407559555951,158.91958857459167,56.4073553809288,343.6487299505006,362.7895016696898,168.58749094766551,234.96096073769215,157.53520246736906,38.25802120826251,212.7918557108112,399.33719297779027,436.37614459530147,357.69558158594157,309.2435264162214,159.23958669182952,350.9612211340685,45.584434604823414,37.12253036912799,471.07712412837134,330.82989952813665,412.3728697328091,305.6674700747444,133.42135689925405,220.36223655792355,75.88813678765511,482.54533083916976
8,324.59642211189987,295.85027333233666,220.20038739618613,178.25432851649384,333.28387483641654,298.9214810223289,488.9440423157707,152.34976778299526,47.63226158339794,430.3421177101606,326.5976129096201,149.4243159632122,98.9398276895097,440.90911539412923,582.3567981644983,158.17604889430044,57.24049115468673,341.80264409191045,361.6043631719803,166.94505526976255,236.14922615191722,159.17537731175554,40.124897446376806,213.5772991055673,400.4303837442935,438.08116135851344,359.6821965634296,309.63787289588373,160.1093467578982,349.1321050518381,46.65568746310442,38.8414153357347,472.12949299204837,332.56041043233944,414.3981877801938,305.652139655977,132.21171096520115,221.98670721910247,77.3759479620926,481.17107972528237
9,327.31898349830385,294.8284834058386,221.70996441982996,176.9693535909201,334.5056585642812,300.5407373133459,490.6332466296622,151.22667597926625,45.83331223290219,431.2794157673569,325.65459067759247,151.2202712754554,97.19261095236224,441.93963957487654,580.4699496587399,157.43136833863213,58.0749052786326,339.95372562874536,360.4174062167408,165.30009946486027,237.3393148215629,160.81806881415457,41.99463818949139,214.36394767208884,401.5252518852006,439.7887942721397,361.6718597711219,310.03282445446865,160.98044136988239,347.30018240318583,47.72858403461423,40.56293773190489,473.18347659365537,334.2935766047582,416.42661344315337,305.6367857144606,130.57738802600858,220.78515200018742,78.86604201016769,479.79471998249556
10,330.04154488470783,293.80669347934054,223.21387191439925,175.7248450338228,335.72936531031246,302.1625422217598,492.32510965516417,150.1018164928516,44.031531438344025,432.2181890784385,324.71008418215354,153.0190533193149,95.29507397632324,441.21364867562056,578.5801313606431,156.68551569808153,58.91063272299863,338.10189707297377,359.22858105869597,163.65255459298652,238.53127662315444,162.4633458196416,43.91469184404829,213.6997915723198,399.8927623822417,440.9982104056383,362.69593790482617,308.27812409905,161.8529070352907,345.46537641237336,48.80316928436622,42.28716970651073,474.23911910556455,336.0294706822548,418.4582317328524,305.62140760671264,128.940492755371,219.58170560162947,80.35848138160816,478.41619392767757
11,332.7641062711118,292.7849035528425,224.7973655119392,174.37119746731173,336.9550432993654,303.7869596610097,494.0196980666244,148.9751449943514,42.226848193644585,433.15847463936626,323.7640562014044,154.82073298269233,93.39448029855846,440.4864882931542,576.6872687946737,155.9384615794663,59.7477064228283,336.2470854461929,358.0378408476334,162.00235572632022,239.72515853051573,164.11127316666375,45.513310759808576,214.95893259379497,398.257643136862,442.20957476171657,363.7216657040907,306.5205971343624,162.35088602346482,343.49229874610546,49.87948556051131,44.01417920952258,475.49841779534154,337.62796539907873,420.4931227129974,305.60600472669984,127.30096064515568,218.3763205970102,81.85332489170831,477.035447234725
