"frame","targetX","targetY","chaserX","chaserY","d0_x","d0_y","d1_x","d1_y","d2_x","d2_y","d3_x","d3_y","d4_x","d4_y","d5_x","d5_y","d6_x","d6_y","d7_x","d7_y","d8_x","d8_y","d9_x","d9_y","d10_x","d10_y","d11_x","d11_y","d12_x","d12_y","d13_x","d13_y","d14_x","d14_y","d15_x","d15_y","d16_x","d16_y","d17_x","d17_y"
0,298.88165866730657,296.1792019752332,245.35077286199729,37.963237071016266,138.33792696877651,157.84237198846031,446.2714105585949,458.1586175006479,349.1303799217022,274.8067516879333,489.18784010544664,197.6211830295243,505.8690030413556,550.9935092902272,367.3770751962802,225.06156683507314,341.9461737805339,349.71089647399145,132.7972488366366,315.40096076694016,577.3214510062159,466.37783595055816,435.42660197013356,113.45542420516625,450.30317159663343,307.42771958181703,302.3463368221649,560.5189538562471,420.15902310267165,147.4562138683845,177.59671608443955,155.6975652187151,290.7753103614124,121.47582246939331,232.84931818543905,363.90041693465514,189.7404180724658,460.2216670941801,310.39410859404705,396.19579355532306
1,297.76331733461313,292.35840395046637,245.4383179315529,35.969735360320264,140.03819823025822,158.9049350937377,446.8089638514727,460.09019695089927,348.2602016198391,276.6130607529285,490.239714607967,195.9142785956837,507.41703314112704,552.2677013972185,369.2948355495885,225.64650951824478,343.84050839596347,350.367751922399,131.30645864513642,314.06024926917337,575.855776286195,465.0097130282997,433.93326866701443,114.79330251095965,450.6087358139939,309.40928291019844,300.3688794877845,560.8500508299912,422.0397074815127,148.15118795603127,175.69261661154698,156.32555241018284,292.42987896233745,122.6082382323311,234.7357340863979,364.5796795966106,190.76358961868723,458.49740414952225,312.2534705790448,396.94595068823753
2,296.6449760019197,288.53760592569955,245.54484329146064,33.90078993580765,141.74175379125606,159.96955068062292,446.49120367612363,462.07376352860916,347.3883424531396,278.4228589435254,491.29362094564095,194.2040770494745,509.0618509498959,553.420993326091,371.2163003114481,226.2325820958132,345.73850217002365,351.02587617425,129.81278879459856,312.71694800927673,574.3872704210017,463.63894739510835,433.4103836643942,116.73291566086364,450.9148902691794,311.3946738910422,298.38760243221395,561.1817873614667,421.7366671974441,150.13705665347257,173.78483911790607,156.9547526422258,294.0876435820265,123.74284140655236,235.8576329609173,362.913291042702,191.78873755649414,456.7698105622293,314.1164241683977,397.6975568491774
3,295.52663466922627,284.71680790093274,245.5301751387458,31.881436891997954,143.44932912417565,161.03667837333057,446.17269370225904,464.06201060246286,345.4913429143537,279.0981128068872,492.3500141192018,192.48984004923412,510.7105499308411,554.5770066047212,373.14229903173856,226.82003759164112,347.6409745195147,351.6855533601228,128.92240366974806,310.9109055514192,575.293574155848,461.84084045436686,432.8862648432241,118.67710559279784,451.2217671375992,313.38474967295804,296.40165028293967,561.5143066705781,421.43291184845305,152.1276112792235,171.87255996281223,157.58543755811695,295.7493199236597,124.88012183186332,236.98217910899683,361.242970417499,192.81630447081722,455.03814048200974,315.9837736510819,398.45093652746596
4,294.40829333653284,280.8960098761659,245.6385016687763,29.888497223702377,145.1592757801079,162.10528799448167,445.8537414111413,466.05301877033696,343.5917089977019,279.77430440048823,493.4078743140966,190.77322247487237,512.3615384727557,555.7346252478924,375.07097240128155,227.40830889143936,349.546088847006,352.34614664478295,128.03078206021897,309.10235502849446,576.2011364816691,460.0402364686718,430.8711745392595,118.74959804356686,451.529070168289,315.37758908843523,294.4129402266244,561.8472877518143,421.12873467207004,154.1209302035099,169.95762521093172,158.2169983110069,297.41330384802296,126.01898160725764,238.74357169073346,360.2614714304625,193.84529837522618,453.30406561821644,317.8537163363707,399.2053624299146
5,293.2899520038394,277.0752118513991,245.68122846277996,27.87346976976592,146.870697531411,163.17481945790192,445.5345139739852,468.0457444929205,341.6904363508669,280.45107931467777,494.4666470782059,189.0551240504334,514.3395819561215,556.1348825901031,377.00130955205975,227.99708766687615,351.4528466323886,353.0073097940601,127.13839128815243,307.2922443490028,577.1094817213788,458.2380791815362,428.8543459059915,118.82215303036774,451.8366382957153,317.3721476383582,292.422514598079,562.1805560811058,420.82429509548683,156.1159686758931,168.041038529514,158.84910388343246,299.0787232177409,127.1588238266229,240.50648374796637,359.2791257476491,195.81515729626796,453.7428341144321,319.72527213853033,399.9604391422306
6,292.17161067114597,273.2544138266323,245.79424592272997,25.83039597821468,148.5852184650134,164.2462877162574,446.7108828039214,469.69006278217563,339.78572072422355,281.12907978816213,495.5273371545189,187.33391435303002,516.3212074421971,556.5358647510028,378.935142315024,228.58693265101203,353.3630573305165,353.669670231573,126.24438450198373,305.47885577323956,578.0194718668438,456.4326584007815,426.8360643138066,118.9411726719057,452.1447633926295,319.3703180978225,291.4917393141245,563.9753495598113,420.5193042148512,158.11461992690047,166.12098113638325,159.4823541242601,300.74715846488806,128.30073016538338,242.27258823035038,358.29500115303347,197.78858339874563,454.1823971684802,321.6002171068086,400.7168832091333
7,291.05326933845254,269.43361580186547,245.80942146589655,23.85317084614329,150.3039701272441,165.32039991517146,447.89015442564545,471.3384385689649,337.8763050471041,281.80875328642963,496.5906445752945,185.60845742189548,518.307722760476,556.9378363700504,380.8737469775155,229.17823312863985,355.2779816386844,354.3336651007281,125.34817167678105,303.6609925043937,578.9317074916637,454.62278258816724,424.81280243730754,119.0604860046987,452.45364881485847,321.3734192156424,290.5586672616891,565.7745718465899,419.6878995222951,159.96302208267514,164.19618583564124,160.11716696480303,302.4197107202479,129.4454542567554,244.0430507282288,357.3084481459006,199.76687910073875,454.62304488236543,323.47978866388974,401.47519386716755
8,289.9349280057591,265.61281777709866,245.89322613332874,21.860811395248703,152.0255834199054,166.39630045397305,449.071389472123,472.98955881408176,335.9637102940737,282.48955840505175,497.65572234657463,183.88012769641296,520.2371516801386,557.5693570291198,382.8155793140317,229.77051809022632,357.19609419434204,354.99876548615134,124.45046670472013,301.8401025895447,579.845461940454,452.8098934282412,422.78617193700893,119.17999798786767,452.76304851494575,323.37985539066705,289.6240416937355,567.5767897431243,420.94376460820564,161.55811367404297,162.26818585273,160.7530367350829,304.44120773192344,129.25820006948973,245.81646095233867,356.32025258029427,201.78021390100622,454.3622819998582,325.36248960800356,402.23476707225996
9,288.8165866730657,261.79201975233184,245.9451263406019,19.87351621076512,153.7513053718817,167.47476864765372,450.2554435560682,474.6446194856604,334.04655110123474,283.1719882766334,498.72334194401566,182.1476732827346,522.1711852146337,558.2023848229503,384.7620458663452,230.36421654991656,359.11878435813776,355.66545314492197,123.55061934452168,300.0148670900385,580.7613970797302,450.9926777775952,421.37630742687344,117.71251989148115,453.07318660266355,325.39107995964497,288.6871856260162,569.3833086632277,422.2026268374385,163.15701197854037,160.3355846651679,161.3904240193515,306.46752908049433,129.070498996931,247.59410345001876,355.3296986692145,203.717146290017,454.98638361074757,327.2496836498441,402.99615301168586
